start_date,end_date,pub_date,Polling,Publisher,Con,Lab,LD,SDP,Green,Referendum,method,UKIP,BNP,TIG/CUK,BXP,BXP/Reform
1955-12-24,1955-12-04,NA,Gallup,News Chron,44.5,45.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-12-17,1955-12-30,NA,Gallup,News Chron,45.5,46.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-01-14,1956-01-26,NA,Gallup,News Chron,45.5,46.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-02-11,1956-02-20,NA,Gallup,News Chron,44,46,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-04-24,1956-04-04,NA,Gallup,News Chron,44.5,47.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-04-20,1956-04-29,NA,Gallup,News Chron,43,48,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-05-19,1956-05-27,NA,Gallup,News Chron,43,47,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-06-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-07-13,1956-07-23,NA,Gallup,News Chron,42,49,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-08-16,1956-08-24,NA,Gallup,News Chron,43.5,49.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-09-07,1956-09-18,NA,Gallup,News Chron,43,46.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-10-01,NA,NA,Gallup,News Chron,42.5,47,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-11-10,1956-11-11,NA,Gallup,News Chron,46,45,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-11-22,1956-11-25,NA,Gallup,News Chron,45,46,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-12-01,1956-12-02,NA,Gallup,News Chron,45,46,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-01-12,1957-01-13,NA,Gallup,News Chron,43.5,48.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-02-01,NA,NA,Gallup,News Chron,42,48,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-03-15,1957-03-22,NA,Gallup,News Chron,40,51.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-04-12,1957-04-16,NA,Gallup,News Chron,41,51,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-06-24,1957-06-01,NA,Gallup,News Chron,41.5,50,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-06-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-07-05,1957-07-11,NA,Gallup,News Chron,41.5,49.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-08-16,1957-08-27,NA,Gallup,News Chron,41.5,49,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-09-29,1957-09-10,NA,Gallup,News Chron,40.5,48.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-09-19,1957-09-25,NA,Gallup,News Chron,33.5,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-10-04,1957-10-08,NA,Gallup,News Chron,37,49,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-11-02,1957-11-06,NA,Gallup,News Chron,36,48.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-11-22,1957-11-26,NA,Gallup,News Chron,38.5,49,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-12-01,NA,NA,Gallup,News Chron,41.5,47.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-01-17,1958-01-23,NA,Gallup,News Chron,40,47.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-02-14,1958-02-19,NA,Gallup,News Chron,36,44.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
