Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP
,Sep,14-16,14/09/2010,19,ComRes,SM/IoS,37,-1,35,1,15,-3,2,-2,Internet,,,,
,Sep,15-16,15/09/2010,,YouGov,Sun,41,-1,38,-1,12,0,3,0,Internet,,,,
,Sep,16-17,16/09/2010,19,YouGov,ST,41,0,39,1,13,1,2,-1,Internet,,,,
,Sep,17-20,17/09/2010,,Opinium,,37,-2,35,5,13,-3,2,-7,Internet,,,,
,Sep,17-20,17/09/2010,28,Angus RS,,,,,,,,,,,,,,
,Sep,19-20,19/09/2010,,YouGov,Sun,42,1,38,-1,11,-2,4,2,Internet,,,,
,Sep,20-21,20/09/2010,,YouGov,Sun,39,-3,39,1,13,2,0,-4,Internet,,,,
,Sep,21-22,21/09/2010,,YouGov,Sun,43,4,36,-3,14,1,7,7,Internet,,,,
,Sep,22-23,22/09/2010,,YouGov,Sun,41,-2,37,1,13,-1,4,-3,Internet,,,,
,Sep,23-24,23/09/2010,26,YouGov,ST,39,-2,38,1,15,2,1,-3,Internet,,,,
,Sep,26-27,26/09/2010,,YouGov,Sun,39,0,40,2,12,-3,-1,-2,Internet,,,,
,Sep,27-28,27/09/2010,,YouGov,Sun,41,2,40,0,12,0,1,2,Internet,,,,
,Sep,28-29,28/09/2010,,YouGov,Sun,41,0,39,-1,12,0,2,1,Internet,,,,
,Sep,28-29,28/09/2010,1,ICM,Gu,35,-2,37,0,18,0,-2,-2,Phone,,,,
,Sep ,29-30,29/09/2010,,YouGov,Sun,41,0,39,0,12,0,2,0,Internet,,,,
,Sep,29-1,29/09/2010,2,ComRes,Ind,39,2,36,1,15,0,3,1,Phone,,,,
,Sep,30-1,30/09/2010,3,YouGov,ST,39,-2,41,2,11,-1,-2,-4,Internet,,,,
,Sep,30-1,30/09/2010,3,Angus RS,SE,35,,38,,16,,-3,,Internet,,,,
,Sep,30-1,30/09/2010,3,BPIX,MoS,41,,37,,13,,4,,Internet,,,,
,Oct,3-4,03/10/2010,,YouGov,Sun,41,2,39,-2,12,1,2,4,Internet,,,,
,Oct,4-5,04/10/2010,,YouGov,Sun,43,2,39,0,11,-1,4,2,Internet,,,,
,Oct,5-6,05/10/2010,,YouGov,Sun,42,-1,40,1,11,0,2,-2,Internet,,,,
,Oct,6-7,06/10/2010,,YouGov,Sun,42,0,38,-2,12,1,4,2,Internet,,,,
,Oct,6-7,06/10/2010,10,ICM,STel,38,3,34,-3,18,0,4,6,Phone,,,,
,Oct,7-8,07/10/2010,10,YouGov,ST,42,0,38,0,12,0,4,0,Internet,,,,
,Oct,10-11,10/10/2010,,YouGov,Sun,42,0,38,0,12,0,4,0,Internet,,,,
,Oct,11-12,11/10/2010,,YouGov,Sun,43,1,36,-2,12,0,7,3,Internet,,,,
,Oct,12-13,12/10/2010,,YouGov,Sun,41,-2,40,4,11,-1,1,-6,Internet,,,,
,Oct,13-14,13/10/2010,,YouGov,Sun,42,1,38,-2,12,1,4,2,Internet,,,,
,Oct,13-15,13/10/2010,17,ComRes,IoS/SM,40,1,34,-2,14,-1,6,3,Internet,,,,
,Oct,14-15,14/10/2010,17,YouGov,ST,41,-1,39,1,11,-1,2,-2,Internet  ,,,,
,Oct,15-17,15/10/2010,19,MORI,Reuters,39,2,36,-1,14,-1,3,3,Phone,Certain to vote,,,
,Oct,17-18,17/10/2010,,YouGov,Sun,41,0,39,0,12,1,2,0,Internet  ,,,,
,Oct,18-19,18/10/2010,,YouGov,Sun,42,1,39,0,11,-1,3,1,Internet  ,,,,
,Oct,19-20,19/10/2010,,YouGov,Sun,41,-1,39,0,11,0,2,-1,Internet  ,,,,
,Oct,20-21,20/10/2010,,YouGov,Sun,41,0,40,1,10,-1,1,-1,Internet  ,,,,
,Oct,21-22,21/10/2010,24,ICM,NotW,40,2,36,2,16,-2,4,0,Phone,,,,
,Oct,21-22,21/10/2010,24,YouGov,ST,41,0,40,0,10,0,1,0,Internet  ,,,,
,Oct,21-22,21/10/2010,24,BPIX,MoS,35,,37,,10,,-2,,Internet,,,,
,Oct,22-24,22/10/2010,26,ICM,Gu,39,-1,36,0,16,0,3,-1,Phone,,,,
,Oct,22-24,22/10/2010,26,Populus,TT,37,,38,,15,,-1,,Phone,,,,
,Oct,24-25,24/10/2010,,YouGov,Sun,40,-1,40,0,11,1,0,-1,Internet,,,,
,Oct,25-26,25/10/2010,,YouGov,Sun,40,0,38,-2,12,1,2,2,Internet,,,,
,Oct,26-27,26/10/2010,,YouGov,Sun,41,1,39,1,12,0,2,0,Internet,,,,
,Oct,27-28,27/10/2010,,YouGov,Sun,41,0,39,0,11,-1,2,0,Internet,,,,
,Oct,27-28,27/10/2010,1,Angus RS,,35,0,37,-1,15,-1,-2,1,Internet,,,,
,Oct,28-29,28/10/2010,31,YouGov,ST,42,1,37,-2,13,2,5,3,Internet,,,,
,Oct,29-1,29/10/2010,,Opinium,,38,1,35,0,13,0,3,1,Internet,,,,
,Oct,29-30,29/10/2010,2,ComRes,Ind,35,-4,37,1,16,1,-2,-5,Phone,,,,
,Oct,31-1,31/10/2010,,YouGov,Sun,41,-1,39,2,11,-2,2,-3,Internet,,,,
,Nov,1-2,01/11/2010,,YouGov,Sun,41,0,40,1,11,0,1,-1,Internet,,,,
,Nov,2-3,02/11/2010,,YouGov,Sun,40,-1,40,0,9,-2,0,-1,Internet,,,,
,Nov,3-4,03/11/2010,,YouGov,Sun,40,0,39,-1,11,2,1,1,Internet,,,,
,Nov,4-5,04/11/2010,7,YouGov,ST,40,0,39,0,12,1,1,0,Internet,,,,
,Nov,7-8,07/11/2010,,YouGov,Sun,42,2,39,0,11,-2,3,2,Internet,,,,
,Nov,8-9,08/11/2010,,YouGov,Sun,40,-2,39,0,13,2,1,-2,Internet,,,,
,Nov,9-11,09/11/2010,,Opinium,,39,1,33,-2,14,1,6,3,Internet,,,,
,Nov,9-10,09/11/2010,,YouGov,Sun,42,2,37,-2,11,-2,5,4,Internet,,,,
,Nov,10-11,10/11/2010,,YouGov,Sun,40,-2,40,3,10,-1,0,-5,Internet,,,,
,Nov,11-12,11/11/2010,14,YouGov,ST,39,-1,41,1,10,0,-2,-2,Internet,,,,
,Nov,12-14,12/11/2010,17,MORI,Reuters,36,-3,39,3,14,0,-3,-6,Phone,Certain to vote,,,
,Nov,14-15,14/11/2010,,YouGov,Sun,40,1,42,1,10,0,-2,0,Internet,,,,
,Nov,15-16,15/11/2010,,YouGov,Sun,37,-3,42,0,10,0,-5,-3,Internet,,,,
,Nov,16-17,16/11/2010,,YouGov,Sun,40,3,40,-2,11,1,0,5,Internet,,,,
,Nov,17-19,17/11/2010,,Opinium,,38,-1,34,1,13,-1,4,-2,Internet,,,,
,Nov,17-18,17/11/2010,,YouGov,Sun,40,0,40,0,11,0,0,0,Internet,,,,
,Nov,17-19,17/11/2010,21,ComRes,IoS/SM,37,-3,38,4,13,-1,-1,-7,Internet,,,,
,Nov,18-19,18/11/2010,21,YouGov,ST,40,0,38,-2,11,0,2,2,Internet,,,,
,Nov,19-21,19/11/2010,23,ICM,Gu,36,-3,38,2,14,-2,-2,-5,Phone,,,,
,Nov,21-22,21/11/2010,,YouGov,Sun,41,1,38,0,11,0,3,1,Internet,,,,
,Nov,22-23,22/11/2010,,YouGov,Sun,42,1,40,2,10,0,2,-1,Internet,,,,
,Nov,23-24,23/11/2010,,YouGov,Sun,40,-2,40,0,9,-1,0,-2,Internet,,,,
,Nov,24-25,24/11/2010,,YouGov,Sun,42,2,39,-1,10,1,3,3,Internet,,,,
,Nov,25-26,25/11/2010,28,YouGov,ST,40,-2,40,1,9,-1,0,-3,Internet,,,,
,Nov,26-29,26/11/2010,,Opinium,,37,-1,35,1,14,1,2,-2,Internet,,,,
,Nov,26-29,26/11/2010,30,ComRes,Ind,36,1,40,3,12,-4,-4,-2,Phone,,,,
,Nov,28-29,28/11/2010,,YouGov,Sun,40,0,40,0,10,1,0,0,Internet,,,,
,Nov,29-30,19/11/2010,,YouGov,Sun,40,0,40,0,10,0,0,0,Internet,,,,
,Nov,29-30,29/11/2010,1,Angus RS,,35,0,40,3,13,-2,-5,-3,Internet,,,,
,Nov,30-1,30/11/2010,,YouGov,Sun,41,1,38,-2,11,1,3,3,Internet,,,,
,Dec,1-2,01/12/2010,,YouGov,Sun,40,-1,40,2,11,0,0,-3,Internet,,,,
,Dec,2-6,02/12/2010,,Opinium,,38,1,34,-1,13,-1,4,2,Internet,,,,
,Dec,2-3,02/12/2010,5,YouGov,ST,41,1,39,-1,10,-1,2,2,Internet,,,,
,Dec,5-6,05/12/2010,,YouGov,Sun,42,1,39,0,10,0,3,1,Internet,,,,
,Dec,6-7,06/12/2010,,YouGov,Sun,42,0,39,0,9,-1,3,0,Internet,,,,
,Dec,7-8,07/12/2010,,YouGov,Sun,41,-1,41,2,8,-1,0,-3,Internet,,,,
,Dec,7-9,07/12/2010,21,Angus RS,,35,0,41,1,9,-4,-6,-1,Internet,,,,
,Dec,8-10,08/12/2010,,Opinium,,38,0,37,3,11,-2,1,-3,Internet,,,,
,Dec,8-9,08/12/2010,,YouGov,Sun,41,0,39,-2,11,3,2,2,Internet,,,,
,Dec,9-10,09/12/2010,12,YouGov,ST,40,-1,42,3,9,-2,-2,-4,Internet,,,,
,Dec,10-13,10/12/2010,,Opinium,,37,-1,36,-1,12,1,1,0,Internet,,,,
,Dec,10-12,10/12/2010,15,MORI,Reuters,38,2,39,0,11,-3,-1,2,Phone,Certain to vote,,,
,Dec,12-13,12/12/2010,,YouGov,Sun,41,1,42,0,9,0,-1,1,Internet,,,,
,Dec,13-14,13/12/2010,,YouGov,Sun,39,-2,42,0,9,0,-3,-2,Internet,,,,
,Dec,14-15,14/12/2010,,YouGov,Sun,42,3,40,-2,8,-1,2,5,Internet,,,,
,Dec,15-16,15/12/2010,,YouGov,Sun,41,-1,41,1,9,1,0,-2,Internet,,,,
,Dec,15-16,15/12/2010,19,ComRes,IoS/SM,37,0,39,1,11,-2,-2,-1,Internet,,,,
,Dec,16-17,16/12/2010,19,YouGov,ST,39,-2,42,1,9,0,-3,-1,Internet,,,,
,Dec,16-19,16/12/2010,21,ICM,Gu,37,1,39,1,13,-1,-2,0,Phone,,,,
,Dec,17-20,17/12/2010,,Opinium,,37,0,37,1,12,0,0,-1,Internet,,,,
,Dec,19-20,19/12/2010,,YouGov,Sun,40,1,43,1,8,-1,-3,0,Internet,,,,
