Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
,Oct,,,G9000,,24.3,-1.9,58.9,4.5,13,-1.6,,,-34.6,-6.4,
,Nov,3-4,9,ICM,GU,30,1,47,-2,19,2,,,-17,3,
,Nov,16-17,19,NOP,ST,27,1,55,-1,14,-1,,,-28,2,
,Nov,17-20,23,MORI,TT,26,-1,56,0,14,1,,,-30,-1,
,Nov,29-4,8,Gallup,DT,23,1.5,62,1,12,-2.5,,,-39,0.5,
,Nov,30-1,2,NOP,ST,25,-2,57,2,15,1,,,-32,-4,
,Nov,,,G9000,,24.3,,59.5,0.6,12.3,-0.7,,,-35.2,-0.6,
,Dec,1-4,8,MORI,TT,28,2,55,-1,13,-1,,,-27,3,
,Dec,8-9,15,ICM,GU,31,1,48,1,16,-3,,,-17,0,
,Dec,13-14,7,ICM,OB,30,-1,50,2,14,-2,,,-20,-3,
,Dec,14-15,17,NOP,ST,25,0,55,-2,16,1,,,-30,2,
,Dec,,,G9000,,24.7,0.4,58,-1.5,13,0.7,,,-33.3,1.9,
1996,Jan,3,7?,NOP,ST,29,4,52,-3,13,-3,,,-23,7,
,Jan,3-8,12,Gallup,DT,21,-2,60.5,-1.5,14.5,2.5,,,-39.5,-0.5,
,Jan,5-6,11,ICM,GU,26,-4,48,-2,22,8,,,-22,-2,
,Jan,17,19??,NOP,ST,33,4,47,-5,14,1,,,-14,9,
,Jan,18-19,21,NOP,ST,28,-5,52,5,17,3,,,-24,-10,
,Jan,19-22,25,MORI,TT,29,1,55,0,13,0,,,-26,1,
,Jan,26-29,,MORI,,28,-1,54,-1,15,2,,,-26,0,
,Jan,,,G9000,,23.1,-1.6,55.6,-2.4,16.8,3.8,,,-32.5,0.8,
,Feb,1-5,9,Gallup,DT,28,7,54.5,-6,14.5,0,,,-26.5,13,
,Feb,2-4,7,ICM,GU,31,5,47,-1,19,-3,,,-16,6,
,Feb,9-12,,MORI,,26,-2,57,3,14,-1,,,-31,-5,
,Feb,15-16,18,NOP,ST,28,0,50,-2,17,0,,,-22,2,
