Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,TIG/CUK,,BXP,,Con lead,,
,Dec,13-14,13/12/2018,16,Opinium,Ob,38,2,39,0,8,1,6,-2,4,1,,,,,-1,2,Internet
,Dec,14-15,14/12/2018,,YouGov,Hope not Hate,38,-2,35,-1,10,0,4,0,4,1,,,,,3,-1,Internet
,Dec,16-17,16/12/2018,,YouGov,,41,3,39,4,7,-3,4,0,3,-1,,,,,2,-1,Internet
,Dec,18-19,18/12/2018,,YouGov,ESRC,,,,,,,,,,,,,,,,,Internet
,Dec,18-20,18/12/2018,23,Opinium,Ob,39,1,39,0,6,-2,6,0,4,0,,,,,0,1,Internet
,Dec,21-4,21/12/2018,,YouGov,,40,-1,34,-5,10,3,4,0,4,1,,,,,6,4,Internet
2019,Jan,6-7,06/01/2019,14,YouGov,TT,41,1,35,1,11,1,4,0,3,-1,,,,,6,0,Internet
,Jan,8-11,08/01/2019,13,BMG,Ind,36,-1,36,-2,12,0,6,2,5,1,,,,,0,1,Internet
,Jan,10-11,09/01/2019,12,Survation,DM,38,-1,41,1,10,2,4,1,2,0,,,,,-3,-2,Internet
,Jan,10-11,10/01/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jan,10-14,10/01/2019,15,Kantar TNS,,35,-3,38,0,9,0,6,1,4,-1,,,,,-3,-3,Internet
,Jan,10-17,10/01/2019,19,NCP,,41,,39,,8,,4,,2,,,,,,2,,Internet
,Jan,13-14,13/01/2019,17,YouGov,TT,39,-2,34,-1,11,0,6,2,4,1,,,,,5,-1,Internet
,Jan,14-15,14/01/2019,17,ComRes,DE,37,0,39,0,8,-1,7,1,3,0,,,,,-2,0,Internet
,Jan,16-17,16/01/2019,20,ComRes,SM/SE,38,1,37,-2,10,2,6,-1,3,0,,,,,1,3,Internet
,Jan,16-18,16/01/2019,20,Opinium,Ob,37,-2,40,1,7,1,7,1,4,0,,,,,-3,-3,Internet
,Jan,16-18,16/01/2019,20,ICM,Gu,39,-1,40,2,9,0,5,0,3,0,,,,,-1,-3,Internet
,Jan,22-24,22/01/2019,31,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jan,30,30/01/2019,31,Survation,DM,38,0,39,-2,9,-1,4,0,2,0,,,,,-1,2,Internet
,Jan,30-1,30/01/2019,3,Opinium,Ob,41,4,34,-6,8,1,7,0,4,0,,,,,7,10,Internet
,Feb,1-5,01/02/2019,7,Ipsos MORI,ES,38,0,38,0,10,1,4,0,3,-2,,,,,0,0,Phone
,Feb,2-7,02/02/2019,12,YouGov,,39,,34,,11,,5,,4,,,,,,5,,Internet
,Feb,3-4,03/02/2019,7,YouGov,,41,2,34,0,10,-1,4,2,4,0,,,,,7,2,Internet
,Feb,4-8,04/02/2019,18,BMG,Ind,38,3,35,-1,13,0,5,-1,5,0,,,,,3,3,Internet
,Feb,7-11,07/02/2019,12,Kantar TNS,,40,5,35,-3,10,1,3,-3,4,0,,,,,5,8,Internet
,Feb,8-11,08/02/2019,19,Deltapoll,,,,,,,,,,,,,,,,,,
,Feb,13-15,13/02/2019,17,Opinium,Ob,37,-4,37,3,8,0,7,0,4,0,,,,,0,-7,Internet
,Feb,18,18/02/2019,19,Survation,DM,40,2,36,-3,10,1,5,1,2,0,,,,,4,5,Internet
,Feb,18-19,18/02/2019,20,YouGov,,41,0,33,-1,10,0,4,0,4,0,,,,,8,1,Internet
,Feb,18-19,18/02/2019,20,YouGov,,38,,26,,7,,,,,,14,,,,12,,Internet
,Feb,19,19/02/2019,19,Sky,,32,,26,,9,,6,,4,,10,,,,6,,Internet
,Feb,20-22,20/02/2019,24,Opinium,Ob,40,3,32,-5,5,-3,7,0,4,0,6,,,,8,8,Internet
,Feb,21-23,21/02/2019,24,Deltapoll,MoS,39,,31,,5,,4,,3,,11,,,,8,,Internet
,Feb,21-23,21/02/2019,24,Deltapoll,MoS,43,0,36,-4,6,0,6,1,3,1,,,,,7,4,Internet
,Feb,22-23,22/02/2019,26,YouGov,TT,41,0,30,-3,10,0,5,1,4,0,,,2,,11,3,Internet
,Feb,22-23,22/02/2019,26,YouGov,TT,36,-2,23,-3,6,-1,,,,,18,4,,,13,1,Internet
,Feb,26-1,26/02/2019,3,Opinium,Ob,40,3,34,-3,9,1,7,0,3,-1,,,,,6,6,Internet
,Feb,26-1,26/02/2019,3,Opinium,Ob,37,-3,33,1,7,2,7,0,4,0,5,-1,,,4,-4,Internet
,Mar,3-4,03/03/2019,8,YouGov,TT,40,-1,31,1,11,1,3,-2,4,0,,,3,1,9,-2,Internet
,Mar,4-5,04/03/2019,6,ComRes,Brexit Express,36,,34,,8,,6,,3,,8,,,,2,,Internet
,Mar,4-8,04/03/2019,10,BMG,Ind,39,1,34,-1,12,-1,5,0,4,-1,,,,,5,2,Internet
,Mar,6-7,06/03/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Mar,7-11,07/03/2019,12,Kantar TNS,,41,1,31,-4,8,-2,6,3,6,2,,,,,10,5,Internet
,Mar,12-15,12/03/2019,,Opinium,,38,-2,34,0,8,-1,8,1,3,0,,,,,4,-2,Internet
,Mar,12-15,12/03/2019,,Opinium,,35,-2,35,2,7,0,8,1,4,0,4,-1,,,0,-4,Internet
,Mar,14-15,14/03/2019,17,YouGov,TT,35,-5,31,0,12,1,6,3,4,0,,,4,1,4,-5,Internet
,Mar,14-15,14/03/2019,,OnePoll,,29,,33,,9,,8,,6,,6,,6,,-4,,Internet
,Mar,15,15/03/2019,16,Survation,DM,35,-5,39,3,10,0,,,,,,,,,-4,-8,Internet
,Mar,15-17,15/03/2019,18,ComRes,DT,34,-2,35,1,8,0,6,0,3,0,7,-1,,,-1,-3,Internet
,Mar,15-19,15/03/2019,21,Ipsos MORI,ES,38,0,34,-4,8,-2,7,3,4,1,2,,1,,4,4,Phone
,Mar,20-21,20/03/2019,22,ComRes,DE,34,0,35,0,8,0,7,1,4,1,6,-1,,,-1,0,Internet
,Mar,20-22,20/03/2019,24,Opinium,Ob,36,-2,35,1,7,-1,9,1,4,1,,,,,1,-3,Internet
,Mar,22-24,22/03/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Mar,22-24,22/03/2019,26,ComRes,Leave Means Leave,33,-1,33,-2,8,0,7,0,3,-1,9,3,,,0,1,Internet
,Mar,24-25,24/03/2019,27,YouGov,TT,36,1,33,2,11,-1,4,-2,4,0,,,5,1,3,-1,Internet
,Mar,28-30,28/03/2019,31,Deltapoll,MoS,32,-7,35,4,7,2,6,2,2,-1,9,-2,6,,-3,-11,Internet
,Mar,28-29,28/03/2019,31,Opinium,Ob,35,-1,35,0,9,2,9,0,5,1,,,,,0,-1,Internet
,Mar,28-30,28/03/2019,31,Deltapoll,MoS,36,-7,41,5,7,1,7,1,3,0,,,,,-5,-12,Internet
,Apr,2-3,02/04/2019,5,YouGov,TT,32,-4,31,-2,12,1,7,3,4,0,,,5,0,1,-2,Internet
,Apr,2-5,02/04/2019,7,BMG,Ind,35,-4,34,0,11,-1,6,1,5,1,,,,,1,-4,Internet
,Apr,2-5,02/04/2019,7,BMG,Ind,29,,31,,8,,7,,4,,8,,6,,-2,,Internet
,Apr,3,03/04/2019,,Sky,,,,,,,,,,,,,,,,,,Internet
,Apr,4-8,04/04/2019,10,Kantar TNS,,32,-9,35,4,11,3,7,1,4,-2,,,,,-3,-13,Internet
,Apr,5-7,05/04/2019,9,ComRes,DT,32,-1,32,-1,7,-1,9,2,3,0,9,0,,,0,1,Internet
,Apr,5-8,05/04/2019,8,Hanbury,Politico,31,,40,,8,,8,,5,,,,,,-9,,Internet
,Apr,9-12,09/04/2019,13,Opinium,Ob,29,-6,36,1,8,-1,11,2,4,-1,,,,,-7,-7,Internet
,Apr,10-11,10/04/2019,13,YouGov,TT,28,-4,32,1,11,-1,6,-1,5,1,3,,8,3,-4,,Internet
,Apr,16,16/04/2019,18,ComRes,Brexit Express,23,-9,33,1,7,0,5,-4,3,0,9,0,14,,-10,-10,Internet
,Apr,16-17,16/04/2019,18,YouGov,TT,29,1,30,-2,10,-1,4,-2,5,0,3,0,12,4,-1,3,Internet
,Apr,16-17,16/04/2019,21,ORB,DT,27,,30,,8,,5,,4,,6,,14,,-3,,Internet
,Apr,17-18,17/04/2019,24,OnePoll,Sun,24,-5,32,-1,9,0,5,-3,5,-1,5,-1,13,7,-8,-4,Internet
,Apr,18-24,18/04/2019,8,Panelbase,ST,27,,36,,8,,5,,3,,4,,13,,-9,,Internet
,Apr,23-24,23/04/2019,26,YouGov,TT,27,-2,30,0,11,1,4,0,5,0,3,0,14,2,-3,-2,Internet
,Apr,21-23,21/04/2019,28,Opinium,Ob,26,-9,33,-2,6,-1,4,-4,4,0,4,0,17,,-7,-7,Internet
,Apr,29-30,29/04/2019,8,YouGov,TT,29,2,29,-1,13,2,2,-2,5,0,3,0,15,1,0,3,Internet
,May,3-7,03/05/2019,9,Opinium,People's Vote,25,-1,30,-3,11,5,4,0,5,1,2,-2,17,0,-5,2,Internet
,May,7-10,07/05/2019,16,BMG,Ind,27,-2,30,-1,18,10,3,-4,6,2,3,-5,10,4,-3,-1,Internet
,May,8-9,08/05/2019,13,YouGov,,24,-5,24,-5,16,3,2,0,7,2,2,-1,18,3,0,0,Internet
,May,8-17,08/05/2019,19,YouGov,Best for Britain/Hope not Hate,24,0,24,0,18,2,2,0,6,-1,2,0,18,0,0,0,Internet
,May,8-10,08/05/2019,12,Opinium,Ob,22,-3,28,-2,11,0,4,0,6,1,4,2,21,4,-6,-1,Internet
,May,9,09/05/2019,12,ComRes,Brexit Express,19,-4,27,-6,14,7,3,-2,5,2,7,-2,20,6,-8,2,Internet
,May,9-13,09/05/2019,14,Kantar TNS,,25,-7,34,-1,15,4,4,-3,3,-1,1,,10,,-9,-6,Internet
,May,9-13,09/05/2019,17,Hanbury,Politico,21,-10,30,-10,13,5,2,-6,5,0,6,,19,,-9,0,Internet
,May,10-12,10/05/2019,15,ComRes,DT,20,1,27,0,13,-1,4,1,4,-1,6,-1,20,0,-7,1,Internet
,May,10-14,10/05/2019,16,Ipsos MORI,ES,25,-13,27,-7,15,7,3,-4,7,3,2,0,16,15,-2,-6,Phone
,May,13-14,13/05/2019,17,YouGov,TT,25,1,25,1,16,-2,2,0,7,1,2,0,18,0,0,0,Internet
,May,14-15,14/05/2019,16,YouGov,,,,,,,,,,,,,,,,,,Internet
,May,14-16,14/05/2019,19,Opinium,Ob,22,0,29,1,11,0,2,-2,3,-3,3,-1,24,3,-7,-1,Internet
,May,14-21,14/05/2019,22,Panelbase,ST,21,-6,31,-5,13,5,3,-2,5,2,4,0,19,6,-10,-1,Internet
,May,17,17/05/2019,18,Survation,DM,27,-8,32,-7,13,3,2,,3,,2,,13,,-5,-1,Internet
,May,17-20,17/05/2019,24,Opinium,,22,0,26,-3,12,1,2,0,4,1,2,-1,25,1,-4,3,Internet
,May ,18-21,18/05/2019,23,NCP,,27,,31,,15,,1,,4,,2,,14,,-4,,Internet
,May,22,22/05/2019,23,Survation,DM,28,1,33,1,13,0,3,1,3,0,2,0,12,-1,-5,0,Internet
,May,28-29,28/05/2019,31,YouGov,TT,19,-6,19,-6,24,8,1,-1,8,1,1,-1,22,4,0,0,Internet
,May,28-30,28/05/2019,2,Opinium,,17,-5,22,-4,16,4,1,-1,11,7,1,-1,26,1,-5,-1,Internet
,May,29-30,29/05/2019,2,Deltapoll,MoS,20,-12,26,-9,16,9,1,-5,5,3,4,-5,24,18,-6,-3,Internet
,Jun,2-3,02/06/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jun ,4-7,04/06/2019,9,BMG,Ind,26,-1,27,-3,17,-1,1,-2,6,0,1,-2,18,8,-1,2,Internet
,Jun ,5-6,04/06/2019,7,YouGov,TT,18,-1,20,1,20,-4,1,0,9,1,0,-1,26,4,-2,-2,Internet
,Jun ,7-9,07/06/2019,12,ComRes,DT,23,3,27,0,17,4,1,-3,5,1,1,-5,22,2,-4,3,Internet
,Jun ,9-10,09/06/2019,14,YouGov,TT,17,-1,19,-1,22,2,0,-1,8,-1,1,1,26,0,-2,0,Internet
,Jun ,13-14,13/06/2019,16,YouGov,ST,21,4,21,2,19,-3,0,0,9,1,0,-1,24,-2,0,2,Internet
,Jun ,18-19,18/06/2019,21,YouGov,TT,20,-1,20,-1,21,2,1,1,9,0,0,0,23,-1,0,0,Internet
,Jun,19-20,19/06/2019,23,Opinium,Ob,20,3,26,4,16,0,2,1,6,-5,1,0,23,-3,-6,-1,Internet
,Jun,19-20,19/06/2019,23,Survation,DM,24,-4,26,-7,18,5,1,-2,6,3,1,-1,20,8,-2,3,Internet
,Jun,21-25,21/06/2019,27,Ipsos MORI,ES,26,1,24,-3,22,7,1,-2,8,1,0,-2,12,-4,2,4,Phone
,Jun,22-24,22/06/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jun,24-25,24/06/2019,27,YouGov,TT,22,2,20,0,19,-2,1,0,10,1,0,0,22,-1,2,2,Internet
,Jun,29-1,29/06/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jun,30-1,30/06/2019,5,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jul,2-3,02/07/2019,4,YouGov,TT,24,2,18,-2,20,1,0,-1,9,-1,0,0,23,1,6,4,Internet
,Jul,2-5,02/07/2019,11,BMG,Ind,28,2,27,0,18,1,2,1,6,0,1,0,14,-4,1,2,Internet
,Jul,3-5,03/07/2019,7,Opinium,,23,3,25,-1,15,-1,1,-1,8,2,1,0,22,-1,-2,4,Internet
,Jul,5-7,05/07/2019,8,ComRes,DT,25,2,28,1,16,-1,1,0,5,0,0,-1,19,-3,-3,1,Internet
,Jul,6-8,06/07/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jul,9-10,09/07/2019,12,YouGov,TT,24,0,20,2,19,-1,0,0,9,0,0,0,21,-2,4,-2,Internet
,Jul,10-11,10/07/2019,12,Survation,,23,,29,,19,,,,3,,,,20,,-6,,Internet
,Jul,10-11,10/07/2019,14,ComRes,SE,24,-1,28,0,15,-1,1,0,5,0,0,0,20,1,-4,-1,Internet
,Jul,13-14,13/07/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jul,15-16,15/07/2019,18,ComRes,Britain Elects,25,1,28,0,17,2,1,0,5,0,0,0,19,-1,-3,1,Internet
,Jul,16-17,16/07/2019,18,YouGov,TT,25,1,21,1,20,1,0,0,8,-1,0,0,19,-2,4,0,Internet
,Jul,20-22,20/07/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jul,21-30,21/07/2019,7,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jul,21-22,21/07/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jul,23-24,23/07/2019,24,YouGov,TT,25,0,19,-2,23,3,1,1,9,1,0,0,17,-2,6,2,Internet
,Jul,24-25,24/07/2019,28,ComRes,SE,28,3,27,-1,19,2,1,0,4,-1,0,0,16,-3,1,4,Internet
,Jul,24-26,24/07/2019,28,Opinium,Ob,30,7,28,3,16,1,1,0,5,-3,0,-1,15,-7,2,4,Internet
,Jul,25-26,25/07/2019,28,YouGov,ST,31,6,21,2,20,-3,0,-1,8,-1,0,0,13,-4,10,4,Internet
,Jul,25-27,25/07/2019,28,Deltapoll,MoS,30,10,25,-1,18,2,1,0,4,-1,2,-2,14,-10,5,11,Internet
,Jul,26-28,26/07/2019,2,ComRes,Britain Elects,29,1,30,3,16,-3,1,0,5,1,0,0,15,-1,-1,-2,Internet
,Jul,26-30,26/07/2019,1,Ipsos MORI,ES,34,8,24,0,20,-2,1,0,6,-2,,,9,-3,10,8,Phone
,Jul,27-29,27/07/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jul,29?,29/07/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Jul,29-30,29/07/2019,31,YouGov,TT,32,1,22,1,19,-1,0,0,8,0,0,0,13,0,10,0,Internet
,Aug,3-5,03/08/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Aug,5?,05/08/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Aug,5-6,05/08/2019,8,YouGov,TT,31,-1,22,0,21,2,0,0,7,-1,0,0,14,1,9,-1,Internet
,Aug,6-11,06/08/2019,14,Survation,,28,,24,,21,,,,3,,,,15,,4,,Internet
,Aug,7-12,07/08/2019,18,BMG,Ind,31,3,25,-2,19,1,1,-1,7,1,0,-1,12,-2,6,5,Internet
,Aug,8-9,08/08/2019,11,Opinium,Ob,31,1,28,0,13,-3,1,0,5,0,0,0,16,1,3,1,Internet
,Aug,8-9,08/08/2019,11,Opinium,,,,,,,,,,,,,,,,,,Internet
,Aug,9-11,09/08/2019,13,ComRes,DT,31,2,27,-3,16,0,1,0,4,-1,0,0,16,1,4,5,Internet
,Aug,10-11,10/08/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Aug,10-19,10/08/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Aug,13-14,13/08/2019,21,YouGov,TT,30,-1,21,-1,20,-1,1,1,8,1,0,0,14,0,9,0,Internet
,Aug,15-19,15/08/2019,21,Kantar TNS,,42,,28,,15,,0,,3,,1,,5,,14,,Internet
,Aug,20-21,20/08/2019,23,YouGov,TT,32,2,22,1,20,0,0,0,7,-1,0,0,12,-2,10,1,Internet
,Aug,21-23,21/08/2019,25,Opinium,Ob,32,1,26,-2,15,2,1,0,4,-1,0,0,16,0,6,3,Internet
,Aug,21-23,21/08/2019,25,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Aug,22-23,22/08/2019,25,YouGov,ST,33,1,21,-1,19,-1,0,0,7,0,0,0,14,2,12,2,Internet
,Aug,24-26,24/08/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Aug,26-27,26/08/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Aug,27-28,27/08/2019,29,YouGov,TT,34,1,22,1,17,-2,1,1,8,1,0,0,13,-1,12,0,Internet
,Aug,28-29,28/08/2019,30,YouGov,,33,-1,22,0,21,4,0,-1,7,-1,0,0,12,-1,11,-1,Internet
,Aug,28-3,28/08/2019,,YouGov,,34,1,23,1,19,-2,0,0,7,0,0,0,12,0,11,0,Internet
,Aug,29-30,29/08/2019,31,Survation,DM,31,3,24,0,21,0,,,3,0,,,14,-1,7,3,Internet
,Aug,29-31,29/08/2019,1,Deltapoll,MoS,35,5,24,-1,18,0,0,-1,4,0,1,-1,14,0,11,6,Internet
,Aug,30-3,30/08/2019,5,ICM,Represent Us,37,,30,,16,,1,,4,,,,9,,7,,Internet
,Aug,31-2,31/08/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Sep,2-3,02/09/2019,3,YouGov,TT,35,1,25,2,16,-3,1,1,7,0,0,0,11,-1,10,-1,Internet
,Sep,3-4,03/09/2019,5,Hanbury,Politico,33,,26,,17,,,,3,,,,14,,7,,Internet
,Sep,3-4,03/09/2019,5,Hanbury,Politico,,,,,,,,,,,,,,,,,Internet
,Sep,3-6,03/09/2019,15,BMG,Ind,31,0,27,2,19,0,1,0,6,-1,0,0,13,1,4,-2,Internet
,Sep,4-6,04/09/2019,8,Opinium,Ob,35,3,25,-1,17,2,1,0,3,-1,0,0,13,-3,10,4,Internet
,Sep,4-6,04/09/2019,8,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Sep,4-6,04/09/2019,8,ComRes,Britain Elects,31,0,27,0,20,4,1,0,3,-1,0,0,13,-3,4,0,Internet
,Sep,5-6,05/09/2019,7,Survation,DM,29,-2,24,0,18,-3,,,3,0,,,17,3,5,-2,Internet
,Sep,5-6,05/09/2019,7,Survation,DM,,,,,,,,,,,,,,,,,Internet
,Sep,5-6,05/09/2019,7,Panelbase,,31,,28,,19,,0,,2,,0,,15,,3,,Internet
,Sep,5-6,05/09/2019,8,YouGov,ST,35,0,21,-4,19,3,0,-1,7,0,0,0,12,1,14,4,Internet
,Sep,5-7,05/09/2019,8,Deltapoll,Sun,31,-4,28,4,17,-1,1,1,4,0,,,13,-1,3,-8,Internet
,Sep,5-9,05/09/2019,11,Kantar TNS,,38,-4,24,-4,20,5,1,1,3,0,1,0,7,2,14,0,Internet
,Sep,6-8,06/09/2019,11,ComRes,DT,30,-1,29,2,17,-3,1,0,4,1,,,13,0,1,-3,Internet
,Sep,7-9,07/09/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Sep,9-10,09/09/2019,11,YouGov,TT,32,-3,23,2,19,0,0,0,7,0,0,0,14,2,9,-5,Internet
,Sep,11-12,11/09/2019,14,ComRes,SE,28,-2,27,-2,20,3,1,0,5,1,,,13,0,1,0,Internet
,Sep,11-13,11/09/2019,14,Opinium,Ob,37,2,25,0,16,-1,1,0,2,-1,0,0,13,0,12,2,Internet
,Sep,11-13,11/09/2019,14,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Sep,12-14,12/09/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Sep,13-16,13/09/2019,19,Ipsos MORI,ES,33,-1,24,0,23,3,0,-1,4,-2,,,10,1,9,-1,Phone
,Sep,14-16,14/09/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Sep,16-17,16/09/2019,17,YouGov,,,,,,,,,,,,,,,,,,Internet
,Sep,17-18,17/09/2019,19,YouGov,TT,32,0,21,-2,23,4,1,1,4,-3,0,0,14,0,11,2,Internet
,Sep,18-19,18/09/2019,23,ComRes,Britain Elects,29,1,27,0,21,1,0,-1,5,0,1,,13,0,2,1,Internet
,Sep,19-20,19/09/2019,22,Opinium,Ob,37,0,22,-3,17,1,2,1,4,2,0,0,12,-1,15,3,Internet
,Sep,19-20,19/09/2019,22,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Sep,19-20,19/09/2019,22,YouGov,People's Vote,30,-2,23,2,22,-1,0,-1,5,1,0,0,14,0,7,-4,Internet
,Sep,21-23,21/09/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Sep,24,24/09/2019,25,ComRes,DT,27,-2,27,0,20,-1,,,,,,,17,4,0,-2,Internet
,Sep,24-25,24/09/2019,26,YouGov,TT,33,3,22,-1,22,0,0,0,6,1,0,0,14,0,11,4,Internet
,Sep,25,25/09/2019,26,Survation,DM,27,-2,24,0,22,4,,,3,0,,,16,-1,3,-2,Internet
,Sep,25-27,25/09/2019,28,Opinium,Ob,36,-1,24,2,20,3,0,-2,2,-2,0,0,11,-1,12,-3,Internet
,Sep,25-27,25/09/2019,28,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Sep,26-27,26/09/2019,29,YouGov,TT,33,0,22,0,21,-1,0,0,5,-1,0,0,13,-1,11,0,Internet
,Sep,28-30,28/09/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Sep,30-1,30/09/2019,2,YouGov,TT,34,1,21,-1,23,2,0,0,5,0,0,0,12,-1,13,2,Internet
,Oct,1-4,01/10/2019,8,BMG,Ind,31,0,26,-1,20,1,0,-1,7,1,0,0,11,-2,5,1,Internet
,Oct,2-3,02/10/2019,4,YouGov,,,,,,,,,,,,,,,,,,Internet
,Oct,3-4,03/10/2019,6,Opinium,Ob,38,2,23,-1,15,-5,1,1,4,2,0,0,12,1,15,3,Internet
,Oct,3-4,03/10/2019,6,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Oct,4-6,04/10/2019,6,ComRes,,33,6,27,0,19,-1,1,,3,,,,13,-4,6,6,Internet
,Oct,4-7,04/10/2019,,ICM,Represent Us,35,-2,29,-1,16,0,1,0,4,0,,,11,2,6,-1,Internet
,Oct,5-6,05/10/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Oct,8-9,08/10/2019,11,YouGov,TT,35,1,22,1,20,-3,0,0,6,1,1,1,12,0,13,0,Internet
,Oct,9-10,09/10/2019,12,ComRes,DE,33,0,27,0,18,-1,0,-1,4,1,,,12,-1,6,0,Internet
,Oct,9-11,09/10/2019,14,Panelbase,ST,33,2,30,2,17,-2,0,0,3,1,,,12,-3,3,0,Internet
,Oct,9-14,09/10/2019,23,Sky,,,,,,,,,,,,,,,,,,Internet
,Oct,10-15,10/10/2019,19,Kantar TNS,,39,1,25,1,18,-2,1,0,3,0,0,-1,8,1,14,0,Internet
,Oct,12-14,12/10/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Oct,14-15,14/10/2019,16,YouGov,TT,37,2,22,0,18,-2,1,1,5,-1,0,-1,11,-1,15,2,Internet
,Oct,15-17,15/10/2019,20,Opinium,Ob,37,-1,24,1,16,1,2,1,4,0,0,0,12,0,13,-2,Internet
,Oct,15-17,15/10/2019,20,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Oct,16-17,16/10/2019,18,ComRes,Britain Elects,33,0,29,2,18,0,0,0,4,0,,,12,0,4,-2,Internet
,Oct,17-18,17/10/2019,18,Panelbase,,36,3,27,-3,17,0,0,0,3,0,,,11,-1,9,6,Internet
,Oct,17-18,17/10/2019,19,Survation,DM,32,5,24,0,21,-1,,,2,-1,,,13,-3,8,5,Internet
,Oct,17-28,17/10/2019,31,YouGov,,36,-1,22,0,19,1,0,-1,6,1,0,0,12,1,14,-1,Internet
,Oct,18-21,18/10/2019,22,Deltapoll,,37,6,24,-4,19,2,1,0,3,-1,,,11,-2,13,10,Internet
,Oct,19-21,19/10/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Oct,20-21,20/10/2019,22,YouGov,TT,37,1,22,0,19,0,1,1,7,1,0,0,11,-1,15,1,Internet
,Oct,23-25,23/10/2019,27,Opinium,Ob,40,3,24,0,15,-1,1,-1,3,-1,0,0,10,-2,16,3,Internet
,Oct,23-25,23/10/2019,27,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Oct,23-24,23/10/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Oct,24-25,24/10/2019,26,YouGov,TT,36,-1,23,1,18,-1,0,-1,6,-1,0,0,12,1,13,-2,Internet
,Oct,25-28,25/10/2019,31,Ipsos MORI,ES,41,8,24,0,20,-3,0,0,3,-1,,,7,-3,17,8,Phone
,Oct,26-28,26/10/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Oct,29-30,29/10/2019,31,Survation,DM,34,2,26,2,19,-2,,,1,-1,,,12,-1,8,0,Internet
,Oct,29-30,29/10/2019,31,YouGov,TT,36,0,21,-2,18,0,0,0,6,0,0,0,13,1,15,2,Internet
,Oct,30-31,30/10/2019,1,Panelbase,,40,4,29,2,14,-3,,,3,0,,,9,-2,11,2,Internet
,Oct,30-31,30/10/2019,2,ORB,DT,36,,28,,14,,,,4,,,,12,,8,,Internet
,Oct,30-31,30/10/2019,3,ComRes,SE,36,3,28,-1,17,-1,0,0,3,-1,0,,10,-2,8,4,Internet
,Oct,30-1,30/10/2019,3,Opinium,Ob,42,2,26,2,16,1,0,-1,2,-1,0,0,9,-1,16,0,Internet
,Oct,30-1,30/10/2019,3,Opinium,Ob,,,,,,,,,,,,,,,,,Internet
,Oct,30-5,30/10/2019,11,ComRes,Remain United,36,0,29,1,17,0,0,0,3,0,0,0,11,1,7,-1,Internet
,Oct,31-1,30/10/2019,3,YouGov,ST,39,3,27,6,16,-2,0,0,4,-2,0,0,7,-6,12,-3,Internet
,Oct,31-2,31/10/2019,3,Deltapoll,MoS,40,3,28,4,14,-5,1,-1,2,-1,,,11,0,12,-1,Internet
,Nov,1-4,01/11/2019,4,ICM,Reuters,38,3,31,2,15,-1,1,0,3,-1,,,9,-2,7,1,Internet
,Nov,1-4,01/11/2019,5,YouGov,TT,38,-1,25,-2,16,0,0,0,5,1,0,0,11,4,13,1,Internet
,Nov,2-4,02/11/2019,,YouGov,,,,,,,,,,,,,,,,,,Internet
