Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,TIG/CUK,,BXP,,Con lead,,
,Jul,10-13,10/07/2018,15,Opinium,Ob,36,-6,40,0,8,1,8,5,3,1,,,,,-4,-6,Internet
,Jul,12-14,12/07/2018,15,Deltapoll,SoS,37,,42,,7,,6,,3,,,,,,-5,,Internet
,Jul,16-17,16/07/2018,18,YouGov,TT,36,-1,41,2,9,-1,7,1,2,-1,,,,,-5,-3,Internet
,Jul,19-20,19/07/2018,23,YouGov,ST,38,2,39,-2,9,0,6,-1,2,0,,,,,-1,4,Internet
,Jul,20-22,20/07/2018,25,ICM,Gu,40,-1,41,2,8,-1,5,1,3,0,,,,,-1,-3,Internet
,Jul,20-23,20/07/2018,,Sky,,,,,,,,,,,,,,,,,,Internet
,Jul,20-24,20/07/2018,27,Ipsos MORI,ES,38,-3,38,0,10,3,6,2,3,-1,,,,,0,-3,Phone
,Jul,22-23,22/07/2018,27,YouGov,TT,38,0,38,-1,10,1,6,0,3,1,,,,,0,1,Internet
,Jul,30-31,30/07/2018,,YouGov,TT,38,0,38,0,10,0,6,0,3,0,,,,,0,0,Internet
,Aug,3-5,03/08/2018,10,ICM,Gu,39,-1,40,-1,7,-1,6,1,3,0,,,,,-1,0,Internet
,Aug,8-9,08/08/2018,10,YouGov,TT,39,1,35,-3,10,0,7,1,3,0,,,,,4,4,Internet
,Aug,6-10,06/08/2018,14,BMG,Ind,37,-2,39,2,10,0,5,2,5,1,,,,,-2,-4,Internet
,Aug,9-13,09/08/2018,15,NCP,,38,,40,,8,,5,,2,,,,,,-2,,Internet
,Aug,9-13,09/08/2018,17,Kantar TNS,,40,0,39,1,9,0,4,1,3,0,,,,,1,-1,Internet
,Aug,13-14,13/08/2018,21,YouGov,TT,41,2,38,3,8,-2,6,-1,3,0,,,,,3,-1,Internet
,Aug,14-15,14/08/2018,16,YouGov,TT,,,,,,,,,,,,,,,,,Internet
,Aug,14-16,14/08/2018,19,Deltapoll,SoS,37,0,40,-2,8,1,6,0,5,2,,,,,-3,2,Internet
,Aug,14-17,14/08/2018,19,Opinium,Ob,39,3,38,-2,7,-1,7,-1,3,0,,,,,1,5,Internet
,Aug,17-19,17/08/2018,22,ICM,Gu,40,1,40,0,8,1,6,0,2,-1,,,,,0,1,Internet
,Aug,17-20,17/08/2018,,Sky,,,,,,,,,,,,,,,,,,Internet
,Aug,20-21,20/08/2018,23,YouGov,TT,40,-1,37,-1,9,1,6,0,2,-1,,,,,3,0,Internet
,Aug,21-22,21/08/2018,,YouGov,Handelsblatt,,,,,,,,,,,,,,,,,Internet
,Aug,28-29,28/08/2018,31,YouGov,TT,39,-1,37,0,10,1,5,-1,3,1,,,,,2,-1,Internet
,Aug,30-31,30/08/2018,,YouGov,,,,,,,,,,,,,,,,,,Internet
,Aug,31-1,31/08/2018,,YouGov,Jeremy Vine Show,,,,,,,,,,,,,,,,,Internet
,Aug,31-1,31/08/2018,4,Survation,,37,-1,41,1,6,-4,7,4,2,0,,,,,-4,-2,Internet
,Sep,3-4,03/09/2018,7,YouGov,TT,39,0,35,-2,11,1,5,0,4,1,,,,,4,2,Internet
,Sep,4-7,04/09/2018,7,BMG,Ind,37,0,38,-1,11,1,7,2,4,-1,,,,,-1,1,Internet
,Sep,6-10,06/09/2018,13,Kantar TNS,,40,0,35,-4,10,1,5,1,4,0,,,,,5,4,Internet
,Sep,7,07/09/2018,8,Survation,DM,38,1,37,-4,10,4,4,-3,1,-1,,,,,1,5,Internet
,Sep,7-9,07/09/2018,12,ICM,Gu,42,2,39,-1,8,0,4,-2,3,1,,,,,3,2,Internet
,Sep,10-11,10/09/2018,,Sky,,,,,,,,,,,,,,,,,,Internet
,Sep,11-13,11/09/2018,16,Opinium,Ob,39,0,38,0,7,0,6,-1,3,0,,,,,1,0,Internet
,Sep,12-13,12/09/2018,18,YouGov,TT,40,1,36,1,11,0,4,-1,3,-1,,,,,4,0,Internet
,Sep,14-18,14/09/2018,20,Ipsos MORI,ES,39,1,37,-1,13,3,2,-4,5,2,,,,,2,2,Phone
,Sep,18-19,18/09/2018,22,YouGov,TT,40,0,36,0,11,0,5,1,2,-1,,,,,4,0,Internet
,Sep,18-20,18/09/2018,24,Opinium,,37,-2,39,1,9,2,8,2,2,-1,,,,,-2,-3,Internet
