Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,
,Feb,2-9,,Gallup,DT,40,-2,42.5,0.5,17,2,-2.5,-2.5,
,Mar,1-7,,Gallup,DT,39.5,-0.5,44,1.5,16,-1,-4.5,-2,
,Mar,14-21,,Gallup,DT,33,-6.5,40,-4,26,10,-7,-2.5,
,Apr,7-16,,Gallup,DT,33,0,41,1,25,-1,-8,-1,
,Apr,18-27,,Gallup,DT,33.5,0.5,40,-1,26,1,-6.5,1.5,
,May,3-9,,Gallup,DT,34.5,1,39.5,-0.5,25.5,-0.5,-5,1.5,
,Jun,1-6,,Gallup,DT,35.5,1,39,-0.5,25,-0.5,-3.5,1.5,
,Jun,29-4,,Gallup,DT,35.5,0,41.5,2.5,22,-3,-6,-2.5,
,Jul,6-11,,Gallup,DT,37.5,2,39.5,-2,22,0,-2,4,
,Jul,20-25,,Gallup,DT,36,-1.5,40.5,1,22.5,0.5,-4.5,-2.5,
,Aug,3-10,,Gallup,DT,34,-2,43,2.5,22,-0.5,-9,-4.5,
,Sep,12-19,,Gallup,DT,34,0,45,2,20,-2,-11,-2,
,Sep,20-26,,Gallup,DT,36.5,2.5,45,0,17.5,-2.5,-8.5,2.5,
,Oct,5-13,,Gallup,DT,34.5,-2,43.5,-1.5,20,2.5,-9,-0.5,
,Oct,12-20,,Gallup,DT,40,5.5,41.5,-2,17,-3,-1.5,7.5,
,,,,,,,,,,,,,,
,Nov,2-9,,Gallup,DT,39,-1,47,5.5,13,-4,-8,-6.5,
,Nov,9-16,,Gallup,DT,36,-3,42.5,-4.5,20,7,-6.5,1.5,
,Nov,16-24,,Gallup,DT,34.5,-1.5,44.5,2,20.5,0.5,-10,-3.5,
,Dec,4-21,,Gallup,DT,37,2.5,46,1.5,16,-4.5,-9,1,
1963,Jan,11-18,,Gallup,DT,35,-2,48,2,16.5,0.5,-13,-4,
,Feb,1-5,,Gallup,DT,32.5,-2.5,48,0,18.5,2,-15.5,-2.5,
,Mar,1-12,,Gallup,DT,33.5,1,50,2,15.5,-3,-16.5,-1,
,Mar,29-10,,Gallup,DT,34,0.5,49.5,-0.5,16,0.5,-15.5,1,
,Apr,-9,,NOP,DM,36.1,,48.7,,14.7,,-12.6,,
,May,10-17,,Gallup,DT,36,2,47,-2.5,16,0,-11,4.5,
,Jun,-4,,NOP,DM,33.5,-2.6,52.2,3.5,14.1,-0.6,-18.7,-6.1,
,Jun,7-14,,Gallup,DT,31,-5,51.5,4.5,16.5,0.5,-20.5,-9.5,
,Jun,-14,,NOP,DM,34.6,1.1,51.3,-0.9,13.9,-0.2,-16.7,2,
,Jun,22-26,,Gallup,DT,36,5,50,-1.5,13,-3.5,-14,6.5,
,Jun,28-2,,Gallup,DT,34.5,-1.5,51.5,1.5,13,0,-17,-3,
,Jul,5-10,,Gallup,DT,34,-0.5,52,0.5,13,0,-18,-1,
,Jul,18-23,,Gallup,DT,32,-2,52,0,15,2,-20,-2,
,Jul,20-22,,NOP,DM,39.3,4.7,47.6,-3.7,12.7,-1.2,-8.3,8.4,
,Jul,-29,,NOP,DM,41,1.7,47.9,0.3,10.9,-1.8,-6.9,1.4,
,Jul,25-30,,Gallup,DT,33,1,50.5,-1.5,15.5,0.5,-17.5,2.5,
,Aug,1-6,,Gallup,DT,35,2,49.5,-1,14.5,-1,-14.5,3,
,Aug,22-27,,Gallup,DT,33.5,-1.5,49.5,0,15.5,1,-16,-1.5,
,Aug,24-25,,NOP,DM,38.6,-2.4,47.8,-0.1,13.4,2.5,-9.2,-2.3,
,Aug,29-3,,Gallup,DT,33.5,0,50.5,1,15,-0.5,-17,-1,
,Sep,5-10,,Gallup,DT,34,0.5,50,-0.5,15,0,-16,1,
,Sep,21-22,,NOP,DM,39.4,0.8,46.5,-1.3,13.7,0.3,-7.1,2.1,
,Sep,26-1,,Gallup,DT,35.5,1.5,46.5,-3.5,17,2,-11,5,
,Oct,3-8,,Gallup,DT,35,-0.5,47.5,1,16,-1,-12.5,-1.5,
,Oct,17-22,,Gallup,DT,38,3,49,1.5,12,-4,-11,1.5,
,Oct,18-20,,NOP,DM,41,1.6,48.5,2,10.2,-3.5,-7.5,-0.4,
,Oct,24-28,,Gallup,DT,36,-2,50,1,13,1,-14,-3,
,Oct,31-5,,Gallup,DT,37,1,49,-1,13,0,-12,2,
,Nov,15-17,,NOP,DM,40.5,-0.5,48.2,-0.3,10.7,0.5,-7.7,-0.2,
,Nov,21-26,,Gallup,DT,38,1,49.5,0.5,12,-1,-11.5,0.5,
,Nov,29-3,,Gallup,DT,39,1,48,-1.5,12.5,0.5,-9,2.5,
,Dec,3-9,,Gallup,DT,39,0,47,-1,13.5,1,-8,1,
,Dec,12-16,,Gallup,DT,37,-2,50,3,12,-1.5,-13,-5,
,Dec,13-15,,NOP,DM,40.9,0.4,49.6,1.4,9.2,-1.5,-8.7,-1,
,Dec,28-7,,Gallup,DT,39,2,50,0,10.5,-1.5,-11,2,
1964,Jan,9-12,,NOP,DM,41.6,0.7,48.4,-1.2,9.7,0.5,-6.8,1.9,
,Jan,9-14,,Gallup,DT,39.5,0.5,48,-2,12.5,2,-8.5,2.5,
,Jan,16-21,,Gallup,DT,40.5,1,46.5,-1.5,12.5,0,-6,2.5,
,Jan,23-28,,Gallup,DT,38,-2.5,48,1.5,13,0.5,-10,-4,
,Jan,30-4,,Gallup,DT,38,0,50,2,11,-2,-12,-2,
,Feb,6-11,,Gallup,DT,39,1,48.5,-1.5,12,1,-9.5,2.5,
,Feb,8-16,,NOP,DM,40.7,-0.9,49.6,1.2,9.6,-0.1,-8.9,-2.1,
,Feb,13-18,,Gallup,DT,40,1,48,-0.5,11.5,-0.5,-8,1.5,
,Feb,20-25,,Gallup,DT,42,2,45,-3,11.5,0,-3,5,
,Feb,27-3,,Gallup,DT,39.5,-2.5,47.5,2.5,12,0.5,-8,-5,
,Mar,5-10,,Gallup,DT,37,-2.5,50,2.5,13,1,-13,-5,
,Mar,6-9,,NOP,DM,41.5,0.8,48.7,-0.9,9.2,-0.4,-7.2,1.7,
,Mar,12-17,,Gallup,DT,38.5,1.5,46.5,-3.5,14,1,-8,5,
,Mar,19-22,,NOP,DM,42,0.5,49.9,1.2,7.9,-1.3,-7.9,-0.7,
,Mar,19-24,,Gallup,DT,40,1.5,49,2.5,10.5,-3.5,-9,-1,
,Mar,25-31,,Gallup,DT,38.5,-1.5,49.5,0.5,11.5,1,-11,-2,
,Apr,2-5,,NOP,DM,40.7,-1.3,50.9,1,8.2,0.3,-10.2,-2.3,
,Apr,2-7,,Gallup,DT,37.5,-1,49.5,0,13,1.5,-12,-1,
,Apr,9-14,,Gallup,DT,41,3.5,49,-0.5,9.5,-3.5,-8,4,
,Apr,15-19,,NOP,DM,38.7,-2,52.4,1.5,8.7,0.5,-13.7,-3.5,
,Apr,15-21,,Gallup,DT,39,-2,51.5,2.5,9,-0.5,-12.5,-4.5,
,Apr,24-28,,Gallup,DT,36.5,-2.5,52,0.5,10.5,1.5,-15.5,-3,
,Apr,29-3,,NOP,DM,40.9,2.2,49.9,-2.5,8.7,0,-9,4.7,
,May,1-5,,Gallup,DT,35.5,-1,55,3,9.5,-1,-19.5,-4,
,May,7-12,,Gallup,DT,38,2.5,51,-4,10.5,1,-13,6.5,
,May,13-19,,Gallup,DT,41,3,48,-3,11,0.5,-7,6,
,May,21-24,,NOP,DM,42.2,1.3,49.5,-0.4,7.9,-0.8,-7.3,1.7,
,May,21-26,,Gallup,DT,39.5,-1.5,51.5,3.5,8.5,-2.5,-12,-5,
,May,27-2,,Gallup,DT,42,2.5,47,-4.5,10.5,2,-5,7,
,Jun,4-7,,NOP,DM,42.8,0.6,49.5,0,7.4,-0.5,-6.7,0.6,
,Jun,4-9,,Gallup,DT,38.5,-3.5,51.5,4.5,9,-1.5,-13,-8,
,Jun,10-16,,Gallup,DT,42,3.5,49.5,-2,8,-1,-7.5,5.5,
,Jun,17-23,,Gallup,DT,42,0,49,-0.5,8.5,0.5,-7,0.5,
,Jun,18-21,,NOP,DM,42.2,-0.6,50.5,1,7.2,-0.2,-8.3,-1.6,
,Jun,25-30,,Gallup,DT,41.5,-0.5,51,2,7,-1.5,-9.5,-2.5,
,Jul,2-5,,NOP,DM,44.5,2.3,48.2,-2.3,7.1,-0.1,-3.7,4.6,
,Jul,2-7,,Gallup,DT,38.5,-3,50.5,-0.5,10.5,3.5,-12,-2.5,
,Jul,9-21,,Gallup,DT,42,3.5,49.5,-1,8,-2.5,-7.5,4.5,
,Jul,16-19,,NOP,DM,44.1,-0.4,48.2,0,7.5,0.4,-4.1,-0.4,
,Jul,22-28,,Gallup,DT,41,-1,48.5,-1,10,2,-7.5,0,
,Jul,30-4,,Gallup,DT,43,2,48.5,0,8.5,-1.5,-5.5,2,
,Aug,6-9,,NOP,DM,46.7,2.6,47.3,-0.9,5.7,-1.8,-0.6,3.5,
,Aug,6-11,,Gallup,DT,42,-1,49,0.5,9,0.5,-7,-1.5,
,Aug,13-18,,Gallup,DT,41.5,-0.5,49.5,0.5,8.5,-0.5,-8,-1,
,Aug,20-23,,NOP,DM,47.5,0.8,46.5,-0.8,5.7,0,1,1.6,
,Aug,20-25,,Gallup,DT,45,3.5,49.5,0,5.5,-3,-4.5,3.5,
,Aug,27-1,,Gallup,DT,41.5,-3.5,50,0.5,8,2.5,-8.5,-4,
,Sep,,4,Gallup,,43,1.5,49.5,-0.5,7,-1,-6.5,2,Quota
,Sep,3-6,10,NOP,DM,46.5,-1,44.9,-1.6,8.4,2.7,1.6,0.6,
,Sep,10-13,16,NOP,DM,47,0.5,45.4,0.5,7.3,-1.1,1.6,0,
,Sep,,13,Gallup,,43,0,48,-1.5,8.5,1.5,-5,1.5,Quota
,Sep,2-9,20,Gallup,STel,44,1,46.5,-1.5,9,0.5,-2.5,2.5,Quota
,Sep,,23,,DE,48.1,,44.1,,7.6,,4,,
,Sep,17-20,23,NOP,DM,45.9,-1.1,45.7,0.3,8.1,0.8,0.2,-1.4,
,Sep,,27,Gallup,STel,46.5,2.5,46,-0.5,7.5,-1.5,0.5,3,Quota
,Sep,,27,Gallup,STel,44.5,,49,,6,,-4.5,,Random
,Sep,24-28,30,NOP,DM,47.1,1.1,44.1,-1.6,8.4,0.3,3,2.8,
,Sep,,,Gallup,DT,44.5,-2,47,1,8,0.5,-2.5,-3,Quota
,Oct,,4,Gallup,STel,44,-0.5,48.5,1.5,7,-1,-4.5,-2,Quota
,Oct,,4,Research Serv Ltd,,46,,47,,7,,-1,,
,Oct,1-5,7,NOP,DM,45.4,-1.7,44.5,0.4,9.8,1.5,0.9,-2.1,
,Oct,,7,,DE,46.1,-2,42.5,-1.6,11,3.4,3.6,-0.4,
,Oct,,11,Gallup,STel,42.5,-1.5,48.5,0,8.5,1.5,-6,-1.5,Quota
,Oct,,11,Gallup,,42.5,-2,50.5,1.5,6.5,0.5,-8,-3.5,Random
,Oct,,11,Research Serv Ltd,Daily Graphic,45,-1,46,-1,9,2,-1,0,
,Oct,5-9,12,NOP,DM,46.2,0.8,46.3,1.8,7.1,-2.7,-0.1,-1,
,Oct,,13,,DE,45.5,-0.6,44.6,2.1,9.3,-1.7,0.9,-2.7,
,Oct,,15,,DE,44.5,-1,43.7,-0.9,11.1,1.7,0.8,-0.1,
,Oct,9-13,15,NOP,DM,44.3,-1.9,47.4,1.1,7.9,0.8,-3.1,-3,Reinterview of sample of people previously polled
,Oct,,15,Gallup,DT,42.5,0,46,-2.5,11,2.5,-3.5,2.5,Quota
,Oct,,15,Gallup,,44.5,2,46,-4.5,9,2.5,-1.5,6.5,Random
