Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,
,Aug,8-9,08/08/2016,10,YouGov,TT,38,-2,31,3,8,0,13,1,4,1,7,-5,Internet
,Aug,10-12,10/08/2016,14,ComRes,IoS/SM,,,,,,,,,,,,,Internet
,Aug,11-12,11/08/2016,16,YouGov,PB,,,,,,,,,,,,,Internet
,Aug,11-15,11/08/2016,,BMG,,39,0,29,0,8,0,14,1,5,-1,10,0,Internet
,Aug,11-22,11/08/2016,,Lord Ashcroft,,40,,31,,7,,13,,3,,9,,Internet
,Aug,12-15,12/08/2016,16,ICM,,40,-3,28,1,8,0,14,1,4,0,12,-4,Internet
,Aug,13-15,13/08/2016,17,Ipsos MORI,ES,45,9,34,-1,7,-4,6,-2,4,0,11,10,Phone
,Aug,16-17,16/08/2016,19,YouGov,TT,38,0,30,-1,9,1,13,0,4,0,8,1,Internet
,Aug,19-20,18/08/2016,2,Survation,DE,,,,,,,,,,,,,Internet
,Aug,22-23,22/08/2016,24,YouGov,,40,2,29,-1,8,-1,13,0,3,-1,11,3,Internet
,Aug,26-28,26/08/2016,31,ICM,Gu,41,1,27,-1,9,1,13,-1,4,0,14,2,Internet
,Aug,26-31,26/08/2016,,Sky,,,,,,,,,,,,,,Internet
,Aug,29-30,29/08/2016,,YouGov,,,,,,,,,,,,,,Internet
,Aug,30-31,30/08/2016,,YouGov,TT,38,-2,30,1,7,-1,14,1,4,0,8,-3,Internet
,Sep,4-5,04/09/2016,7,YouGov,TT,40,2,29,-1,7,0,13,-1,3,-1,11,3,Internet
,Sep,5-6,05/09/2016,,Survation,,,,,,,,,,,,,,Internet
,Sep,9-11,09/09/2016,12,ICM,Gu,41,0,28,1,9,0,13,0,4,0,13,-1,Internet
,Sep,10-14,10/09/2016,15,Ipsos MORI,ES,40,-5,34,0,6,-1,9,3,5,1,6,-5,Phone
,Sep,13-14,13/09/2016,15,YouGov,TT,38,-2,31,2,7,0,13,0,4,1,7,-4,Internet
,Sep,16-19,16/09/2016,,Sky,,,,,,,,,,,,,,Internet
,Sep,19-21,19/09/2016,23,YouGov,TT,39,1,30,-1,8,1,13,0,3,-1,9,2,Internet
,Sep,19-23,20/09/2016,28,BMG,,39,0,28,-1,8,0,13,-1,5,0,11,1,Internet
,Sep,21-23,21/09/2016,25,ICM,Sun on Sunday,41,0,26,-2,8,-1,14,1,4,0,15,2,Internet
,Sep,22-23,22/09/2016,,Survation,LabourList,39,7,29,-3,8,-1,13,-3,4,,10,10,Internet
,Sep,27-30,27/09/2016,,Opinium,,38,1,31,0,5,-1,16,1,4,0,7,1,Internet
,Sep,28-29,28/09/2016,30,YouGov,TT,39,0,30,0,8,0,13,0,3,0,9,0,Internet
,Oct,7-9,07/10/2016,10,ICM,Gu,43,2,26,0,8,0,11,-3,6,2,17,2,Internet
,Oct,11-12,11/10/2016,14,YouGov,TT,42,3,28,-2,9,1,11,-2,3,0,14,5,Internet
,Oct,14-17,14/10/2016,19,Ipsos MORI,ES,47,7,29,-5,7,1,6,-3,4,-1,18,12,Phone
,Oct,18-21,18/10/2016,22,Opinium,Ob,39,1,30,-1,6,1,13,-3,4,0,9,2,Internet
,Oct,19-24,19/10/2016,1,BMG,,42,3,28,0,8,0,12,-1,4,-1,14,3,Internet
,Oct,24-25,24/10/2016,,YouGov,TT,40,-2,27,-1,11,2,11,0,3,0,13,-1,Internet
,Oct,28-30,28/10/2016,1,ICM,Gu,43,0,27,1,8,0,12,1,5,-1,16,-1,Internet
,Oct,31-1,31/10/2016,3,YouGov,TT,41,1,27,0,10,-1,11,0,4,1,14,1,Internet
,Nov,1-3,01/11/2016,,Opinium,,40,1,32,2,6,0,13,0,4,0,8,-1,Internet
,Nov,3-6,03/11/2016,,Sky,,,,,,,,,,,,,,Internet
,Nov,11-14,11/11/2016,16,Ipsos MORI,ES,42,-5,33,4,10,3,7,1,3,-1,9,-9,Phone
,Nov,14-15,14/11/2016,18,YouGov,TT,42,1,28,1,8,-2,11,0,4,0,14,0,Internet
,Nov,15-18,15/11/2016,19,Opinium,Ob,41,1,29,-3,7,1,12,-1,3,-1,12,4,Internet
