Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,
,Dec,11-13,11/12/2020,17,Savanta ComRes,,38,-1,37,-1,8,0,5,2,4,2,,,1,0,Internet
,Dec,12-14,12/12/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Dec,15-16,15/12/2020,22,YouGov,TT,39,2,37,0,6,-2,6,0,4,-1,,,2,2,Internet
,Dec,16-17,16/12/2020,20,Opinium,Ob,39,1,39,-1,6,0,4,1,0,0,3,0,0,2,Internet
,Dec,17-18,17/12/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Dec,18-20,18/12/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Dec,18-21,18/12/2020,1,Savanta ComRes,DE,41,3,39,2,8,0,4,-1,2,-2,,,2,1,Internet
,Dec,21-22,21/12/2020,23,YouGov,,37,-2,41,4,5,-1,5,-1,4,0,,,-4,-6,Internet
,Dec,22,22/12/2020,24,Survation,,39,0,38,1,8,0,4,-1,1,0,,,1,-1,Internet
,Dec,26-28,26/12/2020,,YouGov,,,,,,,,,,,,,,,,Internet
,Dec,26-30,26/12/2020,4,Deltapoll,Mirror,43,6,38,0,4,-5,5,1,3,0,,,5,6,Internet
2021,Jan,2-4,02/01/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,6-7,06/01/2021,10,Opinium,Ob,39,0,40,1,6,0,4,0,0,0,2,-1,-1,-1,Internet
,Jan,4-5,04/01/2021,9,YouGov,TT,39,2,39,-2,6,1,6,1,3,-1,,,0,4,Internet
,Jan,8-10,08/01/2021,12,Savanta ComRes,,40,-1,37,-2,8,0,4,0,2,,,,3,1,Internet
,Jan,8-11,08/01/2021,14,Ipsos,,,,,,,,,,,,,,,,Internet
