Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,,Con lead,,
,Jan,9-11,09/01/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,11,11/01/2021,12,R+W,,41,1,37,0,8,-1,5,-1,2,,,,4,1,Internet
,Jan,12-13,12/01/2021,17,Survation,,40,1,38,0,7,-1,5,1,0,-1,,,2,1,Internet
,Jan,13-14,13/01/2021,19,YouGov,TT,38,-1,39,0,5,-1,6,0,3,0,,,-1,-1,Internet
,Jan,14-15,14/01/2021,17,Opinium,Ob,37,-2,41,1,6,0,4,0,,,1,-1,-4,-3,Internet
,Jan,15-17,15/01/2021,22,Savanta ComRes,,39,-1,37,0,7,-1,3,-1,2,0,,,2,-1,Internet
,Jan,16-18,16/01/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,18,18/01/2021,19,R+W,,40,-1,38,1,8,0,5,0,2,0,,,2,-2,Internet
,Jan,21-22,21/01/2021,23,YouGov,TT,39,1,38,-1,5,0,6,0,4,1,,,1,2,Internet
,Jan,21-23,21/01/2021,25,Deltapoll,,41,-2,39,1,7,3,3,-2,2,-1,,,2,-3,Internet
,Jan,21-25,21/01/2021,29,Kantar,,40,2,37,0,10,0,5,0,2,-1,1,0,3,2,Internet
,Jan,22-24,22/01/2021,29,Savanta ComRes,,40,1,37,0,8,1,3,0,2,0,,,3,1,Internet
,Jan,23-25,23/01/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jan,25,25/01/2021,25,R+W,,42,2,37,-1,8,0,4,-1,3,1,,,5,3,Internet
,Jan,25-1,25/01/2021,3,NCP,ITV,43,4,37,0,5,-2,5,0,3,-1,,,6,4,Internet
,Jan,26-27,26/01/2021,28,YouGov,,37,-2,41,3,6,1,4,-2,3,-1,,,-4,-5,Internet
,Jan,28-29,28/01/2021,31,Opinium,Ob,41,4,38,-3,7,1,4,0,1,,2,1,3,7,Internet
,Jan,29-31,29/01/2021,3,Savanta ComRes,,41,1,38,1,6,-2,3,0,2,0,,,3,0,Internet
,Jan,29-4,29/01/2021,8,Ipsos,ES,42,1,38,-3,7,1,8,3,0,0,,,4,4,Phone
,Jan,30-1,30/01/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,1,01/02/2021,2,R+W,,40,-2,38,1,8,0,4,0,3,0,,,2,-3,Internet
,Feb,2-3,02/02/2021,8,YouGov,TT,41,4,37,-4,6,0,6,2,3,0,,,4,8,Internet
,Feb,5-6,05/02/2021,12,Survation,,39,-1,33,-5,9,2,7,2,,,,,6,4,Internet
,Feb,5-7,05/02/2021,11,Savanta ComRes,,41,0,37,-1,8,2,4,1,2,0,,,4,1,Internet
,Feb,6-8,06/02/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,8,08/02/2021,9,R+W,,43,3,38,0,7,-1,4,0,2,-1,,,5,3,Internet
,Feb,8-9,08/02/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,9-10,09/02/2021,11,YouGov,TT,41,0,36,-1,6,0,7,1,3,0,,,5,1,Internet
,Feb,9-10,09/02/2022,17,Ipsos,,,,,,,,,,,,,,,,Internet
,Feb,11-12,11/02/2021,14,Opinium,Ob,42,1,37,-1,6,-1,5,1,0,-1,1,-1,5,2,Internet
,Feb,12-14,12/02/2021,18,Savanta ComRes,,42,1,37,0,7,-1,3,-1,2,0,,,5,1,Internet
,Feb,13-15,13/02/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,15,15/02/2021,15,R+W,,41,-2,39,1,8,1,5,1,2,0,,,2,-3,Internet
,Feb,17-18,17/02/2021,22,YouGov,TT,40,-1,37,1,7,1,6,-1,3,0,,,3,-2,Internet
,Feb,18-22,18/02/2021,25,Kantar,,40,0,33,-4,11,1,6,1,3,1,2,1,7,4,Internet
,Feb,19-22,19/02/2021,24,Savanta ComRes,,40,-2,38,1,7,0,3,0,3,1,,,2,-3,Internet
,Feb,19-22,19/02/2021,4,Ipsos,,,,,,,,,,,,,,,,Internet
,Feb,19-22,19/02/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,20-22,20/02/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Feb,22,22/02/2021,23,R+W,,43,2,37,-2,7,-1,5,0,3,1,,,6,4,Internet
,Feb,23-25,23/02/2021,1,Survation,,42,3,34,1,7,-2,6,-1,1,,,,8,2,Internet
,Feb,24-26,24/02/2021,27,Opinium,Ob,43,1,36,-1,7,1,4,-1,1,1,0,-1,7,2,Internet
,Feb,24-26,24/02/2021,27,Deltapoll,MoS,42,1,38,-1,6,-1,4,1,3,1,,,4,2,Internet
,Feb,25-26,24/02/2021,26,YouGov,TT,41,1,36,-1,5,-2,7,1,3,0,,,5,2,Internet
,Feb,26-28,26/02/2021,2,Savanta ComRes,,43,3,36,-2,7,0,3,0,3,0,,,7,5,Internet
,Feb,27-1,27/02/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,1,01/03/2021,2,R+W,,44,0,38,0,7,0,3,-2,2,-1,,,6,0,Internet
,Mar,3-4,03/03/2021,4,YouGov,TT,45,4,32,-4,6,1,7,0,3,0,,,13,8,Internet
,Mar,5-7,05/03/2021,10,Savanta ComRes,,42,-1,36,0,8,1,4,1,3,0,,,6,-1,Internet
,Mar,5-12,05/03/2021,15,Ipsos,ES,45,3,38,0,6,-1,5,-3,,,,,7,3,Phone
,Mar,6-8,06/03/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,8,08/03/2021,9,R+W,,45,1,36,-2,7,0,4,1,3,1,,,9,3,Internet
,Mar,8-9,08/03/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,9-10,09/03/2021,14,Survation,SMirror,43,1,33,-1,9,2,5,-1,1,0,,,10,2,Internet
,Mar,9-10,09/03/2021,17,YouGov,TT,42,-3,33,1,7,1,6,-1,3,0,,,9,4,Internet
,Mar,11-12,11/03/2021,14,Opinium,Ob,43,0,37,1,6,-1,4,0,0,-1,1,1,6,-1,Internet
,Mar,12-14,12/03/2021,17,Savanta ComRes,,39,-3,37,1,8,0,4,0,3,0,,,2,-4,Internet
,Mar,12-16,12/03/2021,20,NCP,,42,-1,37,0,7,2,5,0,2,-1,,,5,-1,Internet
,Mar,13-15,13/03/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,15,15/03/2021,16,R+W,,43,-2,36,0,7,0,5,1,3,0,,,7,-2,Internet
,Mar,16-19,16/03/2021,23,BMG,Ind,39,,37,,9,,6,,3,,,,2,,Internet
,Mar,18-19,18/03/2021,24,YouGov,TT,43,1,34,1,5,-2,7,1,3,0,,,9,0,Internet
,Mar,19-21,19/03/2021,26,Savanta ComRes,,42,3,38,1,6,-2,3,-1,2,-1,,,4,2,Internet
,Mar,20-22,20/03/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,22,22/03/2021,22,R+W,,42,-1,36,0,9,2,6,1,2,-1,,,6,-1,Internet
,Mar,25-26,25/03/2021,28,Opinium,Ob,41,-2,37,0,6,0,5,1,1,1,2,1,4,-2,Internet
,Mar,25-26,25/03/2021,30,YouGov,TT,42,-1,32,-2,8,3,7,0,3,0,,,10,1,Internet
,Mar,25-27,25/03/2021,28,Deltapoll,MoS,44,2,36,-2,6,0,4,0,3,0,,,8,4,Internet
,Mar,25-29,25/03/2021,1,Kantar,,42,2,34,1,9,-2,4,-2,2,-1,1,-1,8,1,Internet
,Mar,26-29,26/03/2021,1,Ipsos,,,,,,,,,,,,,,,,Internet
,Mar,27-29,27/03/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Mar,29,29/03/2021,29,R+W,,44,2,36,0,7,-2,4,-2,2,0,,,8,2,Internet
,Mar,31-1,31/03/2021,7,YouGov,TT,42,0,34,2,7,-1,6,-1,3,0,,,8,-2,Internet
,Apr,2-4,02/04/2021,6,Savanta ComRes,,42,0,35,-3,8,2,3,0,2,0,,,7,3,Internet
,Apr,3-5,03/04/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Apr,5,05/04/2021,5,R+W,,44,0,34,-2,9,2,5,1,2,0,,,10,2,Internet
,Apr,7-8,07/04/2021,12,YouGov,TT,41,-1,34,0,6,0,6,0,3,0,,,7,-1,Internet
,Apr,8-9,08/04/2021,11,Opinium,Ob,45,4,36,-1,6,0,4,-1,0,-1,1,-1,9,5,Internet
,Apr,8-10,08/04/2021,11,Deltapoll,MoS,45,1,36,0,6,0,4,0,4,1,,,9,1,Internet
,Apr,8-10,08/04/2021,16,Survation,,43,0,35,2,8,-1,4,-1,,,,,8,-2,Internet
,Apr,9-11,09/04/2021,14,Savanta ComRes,,42,0,35,0,7,-1,4,1,2,0,,,7,0,Internet
,Apr,10-12,10/04/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Apr,12,12/04/2021,12,R+W,,43,-1,36,2,7,-2,5,0,3,1,,,7,-3,Internet
,Apr,13-14,12/04/2021,16,YouGov,TT,43,2,29,-5,8,2,8,2,3,0,,,14,7,Internet
,Apr,15-19,15/04/2021,22,Survation,,40,-3,34,-1,9,1,7,3,,,,,6,-2,Internet
,Apr,16-18,16/04/2021,20,Savanta ComRes,,43,1,34,-1,7,0,4,0,1,-1,,,9,2,Internet
,Apr,16-22,16/04/2021,26,Ipsos,ES,40,-5,37,-1,8,2,5,0,,,,,3,-4,Phone
,Apr,17-19,17/04/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Apr,19,19/04/2021,19,R+W,,44,1,34,-2,10,3,4,-1,3,0,,,10,3,Internet
,Apr,21-22,21/04/2021,23,YouGov,TT,44,1,34,5,5,-3,7,-1,2,-1,,,10,-4,Internet
,Apr,21-23,21/04/2021,25,Opinium,Ob,44,-1,33,-3,7,1,5,1,0,0,2,1,11,2,Internet
,Apr,22-26,22/04/2021,,BMG,Ind,39,0,35,-2,9,0,6,0,3,0,,,4,2,Internet
,Apr,22-26,22/04/2021,28,Kantar,,41,-1,33,-1,10,1,7,3,3,1,1,0,8,0,Internet
,Apr,23-25,23/04/2021,28,Savanta ComRes,,42,-1,35,1,8,1,3,-1,2,1,,,7,-2,Internet
,Apr,24-26,24/04/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Apr,26,26/04/2021,26,R+W,,44,0,34,0,8,-2,4,0,3,0,,,10,0,Internet
,Apr,27-28,27/04/2021,29,YouGov,TT,44,0,33,-1,7,2,7,0,3,1,,,11,1,Internet
,Apr,27-29,27/04/2021,1,Survation,DM,39,-1,38,4,9,0,6,-1,,,,,1,-5,Internet
,Apr,28-29,28/04/2021,29,NCP,,43,1,34,-3,5,-2,7,2,2,0,,,9,4,Internet
,Apr,28-30,28/04/2021,2,Opinium,Ob,42,-2,37,4,7,0,4,-1,0,0,2,0,5,-6,Internet
,Apr,29-30,29/04/2021,1,Focaldata,ST,40,,39,,6,,4,,3,,,,1,,Internet
,Apr,30-2,30/04/2021,4,Savanta ComRes,,40,-2,36,1,8,0,4,1,2,0,,,4,-3,Internet
,May,1-3,01/05/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,May,3,03/05/2021,3,R+W,,40,-4,38,4,7,-1,5,1,3,0,,,2,-8,Internet
,May,4-5,04/05/2021,5,Panelbase,,45,,36,,6,,5,,,,,,9,,Internet
,May,4-5,04/05/2021,6,YouGov,TT,43,-1,33,0,7,0,6,-1,3,0,,,10,-1,Internet
,May,7-9,07/05/2021,11,Savanta ComRes,,42,2,34,-2,8,0,4,0,2,0,,,8,4,Internet
,May,7-10,07/05/2021,13,Ipsos,,,,,,,,,,,,,,,,Internet
,May,8-10,08/05/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,May,10,10/05/2021,10,R+W,,45,5,34,-4,8,1,5,0,2,-1,,,11,9,Internet
,May,11-12,11/05/2021,14,YouGov,TT,45,2,30,-3,7,0,8,2,2,-1,,,15,5,Internet
,May,13-14,13/05/2021,16,Opinium,Ob,44,2,31,-6,8,1,7,3,0,0,2,0,13,8,Internet
,May,13-15,13/05/2021,16,Find Out Now / Electoral Calculus,STel,43,,30,,11,,9,,2,,,,13,,Internet
,May,14-16,14/05/2021,17,Savanta ComRes,,43,1,32,-2,8,0,5,1,2,0,,,11,3,Internet
,May,15-17,15/05/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,May,17,17/05/2021,17,R+W,,42,-3,33,-1,10,2,6,1,2,0,,,9,-2,Internet
,May,19-20,19/05/2021,21,YouGov,TT,46,1,28,-2,8,1,8,0,2,0,,,18,3,Internet
,May,21-23,21/05/2021,27,Savanta ComRes,,43,0,34,2,9,1,4,-1,2,0,,,9,-2,Internet
,May,22-24,22/05/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,May,24,24/04/2021,24,R+W,,43,1,33,0,10,0,5,-1,3,1,,,10,1,Internet
,May,25-26,25/05/2021,27,Survation,,44,5,33,-5,8,-1,6,0,,,,,11,10,Internet
,May,27-28,27/05/2021,28,NCP,,44,1,32,-2,7,2,8,1,2,0,,,12,3,Internet
,May,27-28,27/05/2021,29,Survation,DM,43,-1,33,0,10,2,5,-1,,,,,10,-1,Internet
,May,27-28,27/05/2021,29,YouGov,TT,43,-3,29,1,8,0,8,0,3,1,,,14,-4,Internet
,May,27-28,27/05/2021,30,Opinium,Ob,42,-2,36,5,6,-2,5,-2,1,1,1,-1,6,-7,Internet
,May,28-30,28/05/2021,3,Savanta ComRes,,42,-1,32,-2,9,0,5,1,2,0,,,10,1,Internet
,May,28-3,28/05/2021,7,Ipsos,ES,44,4,35,-2,6,-2,7,2,,,,,9,6,Phone
,May,29-31,29/05/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,May,31,31/05/2021,31,R+W,,45,2,34,1,8,-2,5,0,3,0,,,11,1,Internet
,Jun ,1-2,01/06/2021,4,Survation,,41,-2,33,0,9,-1,6,1,,,,,8,-2,Internet
,Jun ,2-3,02/06/2021,4,YouGov,TT,46,3,30,1,6,-2,9,1,2,1,,,16,2,Internet
,Jun,3-7,03/06/2021,10,Kantar,,45,4,32,-1,8,-2,6,-1,2,-1,1,0,13,5,Internet
,Jun,4-6,04/06/2021,9,Savanta ComRes,,44,2,32,0,8,-1,5,0,2,0,,,12,2,Internet
,Jun,5-7,05/06/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,7,07/06/2021,7,R+W,,43,-2,36,2,7,-1,5,0,1,-2,,,7,-4,Internet
,Jun,7-14,07/06/2021,17,NCP,ITV,45,1,34,2,5,-2,7,-1,3,1,,,11,-1,Internet
,Jun ,9-10,09/06/2021,11,YouGov,TT,44,-2,31,1,7,1,9,0,2,0,,,13,-3,Internet
,Jun ,9-10,09/06/2021,15,Survation,,42,1,35,2,9,0,5,-1,,,,,7,-1,Internet
,Jun,10-11,10/06/2021,13,Opinium,Ob,43,1,34,-2,6,0,7,2,,,,,9,3,Internet
,Jun,11-13,11/06/2021,16,Savanta ComRes,,41,-3,34,2,8,0,6,1,2,0,,,7,-5,Internet
,Jun ,11-15,11/06/2021,23,Survation,,41,-1,33,-2,8,-1,7,2,,,,,8,1,Internet
,Jun,12-14,12/06/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,13,13/06/2021,14,R+W,,44,1,34,-2,9,2,5,0,2,1,,,10,3,Internet
,Jun,16-17,16/06/2021,21,YouGov,TT,45,1,31,0,6,-1,7,-2,4,2,,,14,1,Internet
,Jun,17-20,17/06/2021,22,Deltapoll,,41,-4,35,-1,10,4,5,1,2,-2,3,,6,-3,Internet
,Jun,18-20,18/06/2021,22,Savanta ComRes,,44,3,30,-4,10,2,5,-1,1,-1,,,14,7,Internet
,Jun,18-20,18/06/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,19-21,19/06/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,21,21/06/2021,21,R+W,,44,0,33,-1,10,1,4,-1,3,1,,,11,1,Internet
,Jun,23-24,23/06/2021,25,YouGov,TT,42,-3,30,-1,9,3,7,0,4,0,,,12,-2,Internet
,Jun,23-25,23/06/2021,27,Opinium,Ob,43,0,35,1,7,1,5,-2,,,,,8,-1,Internet
,Jun,25-26,25/06/2021,1,Survation,,41,0,35,2,10,2,5,-2,,,,,6,-2,Internet
,Jun,25-27,25/06/2021,29,Savanta ComRes,,42,-2,33,3,9,-1,5,0,2,1,,,9,-5,Internet
,Jun,25-28,25/06/2021,1,Ipsos,,,,,,,,,,,,,,,,Internet
,Jun,26-28,26/06/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jun,28,28/06/2021,28,R+W,,41,-3,34,1,9,-1,5,1,3,0,,,7,-4,Internet
,Jun,29-30,29/06/2021,5,YouGov,TT,42,0,31,1,10,1,6,-1,3,-1,,,11,-1,Internet
,Jul,2-4,02/07/2021,6,Savanta ComRes,,41,-1,35,2,8,-1,4,-1,3,1,,,6,-3,Internet
,Jul,2-8,02/07/2021,14,Ipsos,ES,40,-4,31,-4,13,7,6,-1,,,,,9,0,Phone
,Jul,3-5,03/07/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jul,5,05/07/2021,5,R+W,,43,2,34,0,8,-1,6,1,4,1,,,9,2,Internet
,Jul,5-13,05/07/2021,13,Survation,,43,2,32,-3,9,-1,6,1,,,,,11,5,Internet
,Jul,7-8,07/07/2021,13,YouGov,TT,42,0,30,-1,9,-1,7,1,2,-1,,,12,1,Internet
,Jul,7-12,07/07/2021,15,Kantar,,44,-1,31,1,12,4,4,-2,1,-1,0,-1,13,0,Internet
,Jul,8-9,08/07/2021,11,Opinium,Ob,43,0,35,0,6,-1,6,1,,,,,8,0,Internet
,Jul,9-11,09/07/2021,14,Savanta ComRes,,40,-1,35,0,9,1,6,2,2,-1,,,5,-1,Internet
,Jul,10-12,10/07/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jul,12,12/07/2021,12,R+W,,41,-2,33,-1,12,4,6,0,3,-1,,,8,-1,Internet
,Jul,15-16,15/07/2021,19,YouGov,,44,2,31,1,8,-1,6,-1,3,1,,,13,1,Internet
,Jul,16-18,16/07/2021,22,Savanta ComRes,,41,1,34,-1,8,-1,5,-1,2,0,,,7,2,Internet
,Jul,17-19,17/07/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jul,19,19/07/2021,19,R+W,,42,1,33,0,10,-2,5,-1,3,0,,,9,1,Internet
,Jul,19-20,19/07/2021,20,Survation,,39,-4,35,3,11,2,5,-1,,,,,4,-7,Internet
,Jul,20-21,20/07/2021,24,YouGov,TT,38,-6,34,3,9,1,8,2,3,0,,,4,-9,Internet
,Jul,22-23,22/07/2021,25,Opinium,Ob,43,0,35,0,8,2,5,-1,,,,,8,0,Internet
,Jul,23,23/07/2021,26,Survation,,39,0,37,2,10,-1,5,0,,,,,2,-2,Internet
,Jul,23-26,23/07/2021,26,Deltapoll,,42,1,37,2,6,-4,6,1,2,0,3,0,5,-1,Internet
,Jul,23-25,23/07/2021,28,Savanta ComRes,,40,-1,34,0,10,2,4,-1,2,0,,,6,-1,Internet
,Jul,23-26,23/07/2021,4,Ipsos,,,,,,,,,,,,,,,,Internet
,Jul,24-26,24/07/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Jul,25,25/07/2021,26,R+W,,40,-2,36,3,9,-1,6,1,4,1,,,4,-5,Internet
,Jul,28-29,28/07/2021,30,YouGov,TT,39,1,34,0,8,-1,9,1,3,0,,,5,1,Internet
,Jul,30-1,30/07/2021,3,Savanta ComRes,,40,0,34,0,10,0,6,2,1,-1,,,6,0,Internet
,Jul,30-9,30/07/2021,12,Ipsos,ES,41,1,30,-1,13,0,8,2,,,,,11,2,Phone
,Jul,31-2,31/07/2021,3,YouGov,,,,,,,,,,,,,,,,Internet
,Aug,2,02/08/2021,2,R+W,,41,1,34,-2,11,2,6,0,3,-1,,,7,3,Internet
,Aug,5-6,05/08/2021,8,Opinium,Ob,42,-1,35,0,7,-1,5,0,,,,,7,-1,Internet
,Aug,5-6,05/08/2021,11,YouGov,TT,41,2,33,-1,8,0,7,-2,3,0,,,8,3,Internet
,Aug,6-8,06/08/2021,12,Savanta ComRes,,41,1,33,-1,10,0,4,-2,2,1,,,8,2,Internet
,Aug,7-9,07/08/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Aug,9,09/08/2021,9,R+W,,40,-1,37,3,9,-2,6,0,3,0,,,3,-4,Internet
,Aug,11-12,11/08/2021,13,YouGov,TT,40,-1,32,-1,9,1,7,0,2,-1,,,8,0,Internet
,Aug,13-15,13/08/2021,19,Savanta ComRes,,41,0,34,1,9,-1,4,0,2,0,,,7,-1,Internet
,Aug,14-16,14/08/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Aug,16,16/08/2021,16,R+W,,40,0,36,-1,10,1,5,-1,3,0,,,4,1,Internet
,Aug,17-18,17/08/2021,20,YouGov,TT,40,0,32,0,9,0,8,1,3,1,,,8,0,Internet
,Aug,19-20,19/08/2021,22,Opinium,Ob,39,-3,36,1,8,1,6,1,,,,,3,-4,Internet
,Aug,19-23,19/08/2021,26,Kantar,,37,-7,34,3,14,2,5,1,2,1,2,2,3,-10,Internet
,Aug,19-23,19/08/2021,44461,Opinium,Progressive Britain,39,,35,,9,,6,,,,,,4,,Internet
,Aug,20-22,20/08/2021,26,Savanta ComRes,,41,0,34,0,9,0,4,0,2,0,,,7,0,Internet
,Aug,21-23,21/08/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Aug,23,23/08/2021,23,R+W,,43,3,33,-3,10,0,6,1,3,0,,,10,6,Internet
,Aug,25-26,25/08/2021,2,YouGov,TT,39,-1,31,-1,8,-1,9,1,4,1,,,8,0,Internet
,Aug,27-29,27/08/2021,2,Savanta ComRes,,40,-1,34,0,10,1,5,1,2,0,,,6,0,Internet
,Aug,27-29,27/08/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Aug,29,29/08/2021,30,R+W,,41,-2,33,0,9,-1,5,-1,4,1,,,8,-2,Internet
,Sep,2-3,02/09/2021,5,Opinium,Ob,40,1,35,-1,7,-1,6,0,,,,,5,2,Internet
,Sep,2-3,02/09/2021,5,Deltapoll,Sun on Sunday,41,-1,33,-4,9,3,7,1,3,1,3,0,8,3,Internet
,Sep,2-3,02/09/2021,6,YouGov,TT,38,-1,34,3,8,0,10,1,3,-1,,,4,-4,Internet
,Sep,2-30,02/09/2021,44484,YouGov,,38,,33,,9,,8,,4,,,,5,,Internet
,Sep,3-5,03/09/2021,10,Savanta ComRes,,40,0,36,2,9,-1,4,-1,3,1,,,4,-2,Internet
,Sep,3-6,03/09/2021,10,Ipsos,,,,,,,,,,,,,,,,Internet
,Sep,4-6,04/09/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Sep,6,06/09/2021,6,R+W,,41,0,32,-1,11,2,6,1,4,0,,,9,1,Internet
,Sep,6-8,06/09/2021,11,Find Out Now / Electoral Calculus,DT,37,,33,,12,,8,,4,,,,4,,Internet
,Sep,8-9,08/09/2021,10,YouGov,TT,33,-5,35,1,10,2,9,-1,5,2,,,-2,-6,Internet
,Sep,9-11,09/09/2021,12,Opinium,Ob,38,-2,38,3,8,1,6,0,,,,,0,-5,Internet
,Sep,9-16,09/09/2021,17,Panelbase,,41,,36,,10,,5,,,,,,5,,Internet
,Sep,10-12,10/09/2021,15,Savanta ComRes,,39,-1,35,-1,9,0,6,2,3,0,,,4,0,Internet
,Sep,10-14,10/09/2021,17,Survation,,40,1,36,-1,9,-1,5,0,,,,,4,2,Internet
,Sep,11-12,11/09/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Sep,13,13/09/2021,13,R+W,,39,-2,35,3,9,-2,6,0,5,1,,,4,-5,Internet
,Sep,15-16,15/09/2021,17,YouGov,TT,39,6,35,0,7,-3,7,-2,3,-2,,,4,6,Internet
,Sep,16-17,16/09/2021,19,Opinium,Ob,40,2,37,-1,7,-1,6,0,,,,,3,3,Internet
,Sep,16-17,16/09/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Sep,17-19,17/09/2021,22,Savanta ComRes,,40,1,35,0,9,0,5,-1,2,-1,,,5,1,Internet
,Sep,17-23,17/09/2021,27,Ipsos,ES,39,-2,36,6,9,-4,6,-2,,,,,3,-8,Phone
,Sep,18-19,18/09/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Sep,20,20/09/2021,20,R+W,,41,2,35,0,8,-1,7,1,3,-2,,,6,2,Internet
,Sep,21-22,21/09/2021,22,Survation,,40,0,35,-1,8,-1,4,-1,,,,,5,1,Internet
,Sep,22-23,22/09/2021,24,YouGov,TT,39,0,32,-3,10,3,9,2,3,0,,,7,3,Internet
,Sep,23-27,23/09/2021,30,Kantar,,43,6,30,-4,11,-3,6,1,1,-1,1,-1,13,10,Internet
,Sep,24-26,24/09/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Sep,24-26,24/09/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Sep,27,27/09/2021,29,R+W,,41,0,35,0,10,2,5,-2,3,0,,,6,0,Internet
,Sep,27-28,29/09/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Sep,28-29,28/09/2021,30,YouGov,TT,39,0,31,-1,8,-2,9,0,4,1,,,8,1,Internet
,Sep,29,29/09/2021,30,Survation,,41,1,36,1,8,0,5,1,,,,,5,0,Internet
,Sep,29-1,29/09/2021,2,Opinium,Ob,39,-1,35,-2,8,1,6,0,,,,,4,1,Internet
,Oct,1-3,01/10/2021,6,Savanta ComRes,,40,0,35,0,9,0,4,-1,3,1,,,5,0,Internet
,Oct,2-4,02/10/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Oct,4,04/10/2021,4,R+W,,40,-1,37,2,10,0,4,-1,3,0,,,3,-3,Internet
,Oct,5-6,05/10/2021,7,YouGov,TT,39,0,31,0,9,1,9,0,4,0,,,8,0,Internet
,Oct,6-7,06/10/2021,11,Survation,DM,39,-2,35,-1,9,1,5,0,,,,,4,-1,Internet
,Oct,8-10,08/10/2021,14,Savanta ComRes,,40,0,35,0,8,-1,5,1,2,-1,,,5,0,Internet
,Oct,8-12,08/10/2021,20,Ipsos,,,,,,,,,,,,,,,,Internet
,Oct,9-11,09/10/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Oct,11,11/10/2021,11,R+W,,40,0,36,-1,9,-1,6,2,4,1,,,4,1,Internet
,Oct,11-18,11/10/2021,18,NCP,,40,,32,,6,,9,,3,,,,8,,Internet
,Oct,12-13,12/10/2021,14,YouGov,TT,41,2,31,0,9,0,8,-1,4,0,,,10,2,Internet
,Oct,13-15,13/10/2021,17,Opinium,Ob,41,2,37,2,7,-1,5,-1,,,,,4,0,Internet
,Oct,13-15,13/10/2021,17,Deltapoll,MoS,38,-3,37,4,9,0,6,-1,2,-1,2,-1,1,-7,Internet
,Oct,14-18,14/10/2021,21,Kantar,,39,-4,34,4,8,-3,8,2,2,1,1,0,5,-8,Internet
,Oct,16-18,16/10/2021,,YouGov,,,,,,,,,,,,,,,,Internet
,Oct,15-17,15/10/2021,21,Savanta ComRes,,40,0,35,0,8,0,5,0,3,1,,,5,0,Internet
,Oct,18,18/10/2021,18,R+W,,40,0,37,1,9,0,5,-1,3,-1,,,3,-1,Internet
,Oct,20-21,20/10/2021,22,YouGov,TT,37,-4,33,2,9,0,10,2,4,0,,,4,-6,Internet
,Oct,22-24,22/10/2021,27,Savanta ComRes,,37,-3,35,0,8,0,7,2,4,1,,,2,-3,Internet
,Oct,23-25,23/10/2021,25,YouGov,,,,,,,,,,,,,,,,Internet
,Oct,25,25/10/2021,25,R+W,,39,-1,36,-1,10,1,6,1,4,1,,,3,0,Internet
,Oct,27-28,27/10/2021,29,YouGov,TT,39,2,33,0,8,-1,10,0,3,-1,,,6,2,Internet
